project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Kurogi Ramen and Sushi,TABS2025010321,Chapion Circle Addition,"3400 Hwy 114, Ste 100, Fort Worth, TX 76177",Denton,2/15/2025,6/15/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",2252 SF Lease Space Build Out for Restaurant Use,"2,252 ft 2",Dana-Y Investment LTD.,"8499 Gulf Freeway, Houston, Texas 77017",(970) 880-6638,"CL Kurogi, Inc.",Restaurant Headquarters,"1501 S. Jupiter Rd., Garland, Texas 75042",(970) 880-6638,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010321
BLUE AGAVE NAIL LOUNGE,TABS2025010312,BLUE AGAVE NAIL LOUNGE,"5600 W. UNIVERSITY DR #40, Prosper, TX 75078",Denton,2/24/2025,7/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR NAIL SALON,"3,010 ft 2","REGENT XNG, LLC","310 SAN MARCOS DR, IRVING, Texas 75063",(302) 494-3699,TONY TRUONG,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010312
949-Premier Stair,TABS2025010282,Frankford Trade Center 9,"2720 Commodore Dr, Suite 100, Carrollton, TX 75007",Denton,1/27/2025,3/1/2025,"$116,593",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvements within existing finish out,"11,252 ft 2",Prologis,"2021 McKinney Ave, Suite 1050, Dallas, Texas 75201",(972) 884-9210,,Meinhardt & Associates,"14643 Dallas Pkwy, suite 636, Dallas, Texas 75254",1-972-934-5406,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010282
Tenant lmprovment Plan-Lotte Logistics,TABS2025010268,"LH-HM Denton Westpark II, LLC (I-35 Convergence - Building 2)","221 N Western Blvd., Denton, TX 76207",Denton,2/1/2025,11/30/2025,"$2,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of lease space of 216,055 SF","216,055 ft 2","LH-HM Denton Westpark II, LLC","5956 Sherry Ln Suite 1500, Dallas, Texas 75225",(214) 244-0844,Jason Moon,"FK+ architect, LLC","400 Chisholm Pl Suite 310, Plano, Texas 75075",(972) 424-1325,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010268
Quest Diagnostics - Toxicology Room,TABS2025010260,Quest Diagnostics - Toxicology Room,"2501 South State Highway 121, Lewisville, TX 75067",Denton,2/24/2025,5/30/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","ADDING A TOXICOLOGY ROOM, 1430 SF, WITHIN EXISTING BUILDING.","1,430 ft 2",Quest Diagnostics,"2501 South State Highway 121 STE 1100, Lewisville, Texas 75067",626-993-4820,,Ware Malcomb,"2626 Cole Ave, Ste 220, Dallas, Texas 75204",469-396-7520,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010260
Southstone Yards Lot 4,TABS2025010185,Leasing Office,"NE corner of Cirrus Way and Spring Creek Pkwy, Frisco, TX 75034",Denton,4/1/2025,4/1/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",Leasing office and restrooms for new apartment building.,"2,000 ft 2",Rosewood Property Company,"2101 Cedar Springs Rd Suite 1600, Dallas, Texas 75201",(214) 849-0000,,"Hensley Lamkin Rachel, Inc.","6201 W Plano Pkwy Suite 100, Plano, Texas 75093",(972) 726-9400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010185
Morgan Hill,TABS2025010150,Building 1 - Leasing Office,"3885 Midway Road, Carrollton, TX 75007",Denton,6/1/2025,7/7/2025,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.",Leasing office for 375 unit Market rate apartment complex,"2,148 ft 2",Billingsley Company,"1722 Routh Street, Suite 770, DALLAS, Texas 75201",(214) 270-0986,,HLR architects,"6201 W Plano Pkwy Suite 100, Plano, Texas 75093",(972) 726-9400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010150
General Fasteners,TABS2025010104,Building 1,"2001 FM 1173, Denton, TX 76027",Denton,1/27/2025,1/25/2027,"$230,478",Renovation/Alteration,"This project is privately funded, on private land for private use.",THE SCOPE OF WORK INCLUDES AN EXISTING OFFICE BUILD OUT TO A PREVIOUSLY PERMITED SHELL WAREHOUSE AND ADDITIONAL OFFICES.,"51,297 ft 2",CLX VENTURES,"300 CRESCENT COURT, DALLAS, Texas 75201",(214) 697-8947,,POWERS BROWN ARCHITECTURE,"2100 TRAVIS STREET, SUITE 501, HOUSTON, Texas 77002",832-856-5303,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010104
PARKRIDGE PLAZA,TABS2025010084,PARKRIDGE PLAZA,"FM 2181 AT PARKRIDGE DRIVE, Corinth, TX 76210",Denton,3/1/2025,9/1/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",SHELL ONLY CONSTRUCTION,"11,240 ft 2","H&H One Group, LLC","924 Horseshoe Bend, RICHARDSON, Texas 75081",469 231 6550,,"R.T. CHANG ARCHITECTS, INC","5384 WINDMIER LANE, DALLAS, Texas 75252",(214) 663-4735,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010084
Liquor Mart 423,TABS2025010063,KM 423 Partners Lp.,"11700 FM 423, Little Elm, TX 75068",Denton,1/25/2025,3/10/2025,"$155,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Build inside walls, electric, plumbing, install cooler, flooring","2,779 ft 2",KM 423 Partners Lp.,"5555 San Felipe Street Suite #510, Houston, Texas 77056",(713) 275-2615,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010063
