project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
DORADO NAIL BAR,TABS2025021776,SANGER TOMB THUMB,"1409 W CHAPMAN DR, Sanger, TX 76266",Denton,7/1/2025,12/1/2025,"$200,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"4,500 ft 2",MALOUF INTERESTS INC,"4143 MAPLE AVE #STE. 325, DALLAS, Texas 75219",2-145-321-1976,HENRY NGUYEN,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021776
Storied,TABS2025021738,Shops at Flower Mound,"2021 Justin Road Suites 171 & 184, Flower Mound, TX 75028",Denton,7/21/2025,11/17/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The combining and renovation of two adjacent tenant spaces into one 2,937 square foot coffee shop.","2,937 ft 2",The Village Church,"2101 Justin Road, Flower Mound, Texas 75028",(972) 537-1100,Sara Keene,Cross Timbers Architects,"4315 Windsor Centre Trail Suite 400, Flower Mound, Texas 75028",972-355-7754,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021738
Hilltop RV and Boat Storage Solutions,TABS2025021715,Hilltop RV and Boat Storage Solutions,"8356 Thompson Road, Justin, TX 76102",Denton,8/1/2025,8/1/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","New Storage Facility on 2 acres, containing 9 new storage buildings, with 4 parking stalls (includes 1 accessible parking stall), drive lanes, gates and other improvements. ","64,816 ft 2",T&R Investment Holdings,"8356 Thompson Road, Northlake, Texas 76247",(817) 899-8803,,"MAS Consulting Engineers, LLC","101 Summit Ave, Ste. 1030, Fort Worth, Texas 76102",(817) 708-2422,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021715
The Lofts on Scripture,TABS2025021685,The Lofts on Scripture,"1600 Scripture Street, Denton, TX 76201",Denton,7/30/2025,7/20/2027,"$805,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New apartments inside what used to be a commercial tiltwall building.,"12,600 ft 2",Lots on Scripture LLC,"2227 Houston Place, Denton, Texas 76201",(469) 530-8288,,Bates Martin Architects,"2220 San Jacinto Blvd., Denton, Texas 76205",(940) 565-0260,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021685
Stoke Denton,TABS2025021656,608 E Hickory,"608 E Hickory, Suite 130, Denton, TX 76201",Denton,7/1/2025,9/30/2025,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Removing some plumbing fixtures and wall removal for access to adjacent space,"1,480 ft 2","Rail Yard Partners, Ltd","525 S Loop 288, Suite 201, Denton, Texas 76205",(940) 382-5003,Heather Gregory,Bates & Martin Architects,"2220 San Jacinto Blvd Suite 330, Denton, Texas 76205",(940) 387-4881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021656
T.I. Finish Remodeling for Bruvana Coffee Shop,TABS2025021642,Flower Mound Retail Center,"500 Flower Mound Road, Suite 108, Flower Mound, TX 75028",Denton,7/18/2025,10/18/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish Remodeling of 1609 s.f. for Coffee Shop,"1,609 ft 2",Mohammed H. Abid,"816 Sylvan Dr., Fort Worth, Texas 76120",(817) 253-8129,Ali Nawazuddin,"Boothe Architects, Inc.","1223, Fort Worth, Texas 76104",(817) 439-9011,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021642
OFFICE WAREHOUSE,TABS2025021637,AIRR ENGINEERING,"6023 NEW HOPE RD, Aubrey, TX 76227",Denton,6/23/2025,1/19/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.",OFFICE/WAREHOUSE ,"5,970 ft 2",ZOLLOFF HOLDINGS,"10045 AERONCA LN, MCKINNEY, Texas 75071",(214) 217-7600,,EAGLESPAN INC,"5066 SUE LOOKOUT, ABELINE, Texas 79606",(325) 691-0148,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021637
WATERS RIDGE OFFICE,TABS2025021636,WATERS RIDGE OFFICE,"1550 WATERS RIDGE DR, Lewisville, TX 75057",Denton,1/1/2026,12/31/2027,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",NEW BUILDING ,"10,938 ft 2",TAHRA GROUP LLC,"1550 WATERS RIDGE DR, LEWISVILLE, Texas 75057",(408) 219-2135,,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021636
Denton Elm,TABS2025021502,Denton Elm,"2900 N Elm Street, Denton, TX 76201",Denton,11/3/2025,2/7/2028,"$72,000,000",New Construction,"This project is privately funded, on private land for private use.",4 story walk up apartments,"559,000 ft 2",JPI,"9001 Cypress Water, Dallas, Texas 75019",(214) 301-0694,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021502
VR2,TABS2025021484,VR2,"176 Valley Ridge Blvd, Lewisville, TX 75057",Denton,7/1/2025,9/26/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",finish out two office/restrooms in existing shell building,558 ft 2,VR2,"176 Valley Ridge Blvd, Lewisville, Texas 75057",(512) 757-0803,,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021484
"CVS #11609 Northlake, TX",TABS2025021475,CVS Pharmacy,"SW Corner FM 407 & Gibbs Road, Northlake, TX 76226",Denton,11/3/2025,5/15/2026,"$4,000,000",New Construction,"This project is privately funded, on private land for private use.",Freestanding retail pharmacy with associated utility and site work.,"12,651 ft 2","Orange Northlake, LLC","147 Resource Center Drive, Ste 102, Birmingham, Alabama 35242",(205) 408-3443,,"Genesis Design Group, Inc.","9500 Ray White Road, Ste 200, Fort Worth, Texas 76244",817-856-2760,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021475
Eden Village Amenity Center,TABS2025021471,Eden Village Amenity Center,"901 N. Loop, Denton, TX 76209",Denton,10/17/2025,6/17/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","new construction of a 3,444 square foot amenity building for a development located in Denton TX. ","3,444 ft 2",JPI,"9001 Cypress Waters Blvd, Suite 2A, Dallas, Texas 75019",(469) 998-2984,,STRAND,"10003 Technology Blvd West, Dallas, Texas 75220",972-620-8204,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021471
Timberbrook Crossing Phase 1 Building 1,TABS2025021464,Building 1 Phase 1 TImberbrook Crossing,"1100 TImberbrook Crossing, Justin, TX 76247",Denton,8/1/2025,1/15/2026,"$494,000",New Construction,"This project is privately funded, on private land for private use.",This building will be built to the shell for future tenant finish out.,"3,800 ft 2",Timberbrook Crossing LLC,"1652 FM-407 STE 100, Argyle, Texas 76226",(252) 626-5279,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021464
Fast Photonics Cleanroom,TABS2025021427,Red River Business Pakr,"900 Arthurs Ln Suite 101, Lewisville, TX 75067",Denton,7/24/2025,11/21/2025,"$8,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construct 16K SF of cleanroom manufacturing facility and support rooms,"22,500 ft 2",Bixby Capital Management,"1501 Quail Street #230, Newport Beach, California 92660",(214) 403-8714,,AM Technical Solutions,"13809 Research Blvd Suite 685, Austin, Texas 78750",(505) 321-2618,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021427
Swig TX1017 Little Elm TX (Denton),TABS2025021425,Swig TX1017 Little Elm TX (Denton),"2390 E. ELDORADO PARKWAY, Little Elm, TX 75068",Denton,7/28/2025,11/10/2026,"$880,000",New Construction,"This project is privately funded, on private land for private use.",(Ground UP) 940 SF New ground-up building for swig facility. The main purpose of this facility is to prepare and serve gourmet soda drinks. The building will only be occupied by employees. All customers will interface with drive thru window.,940 ft 2,"HUDSON ELM DEVELOPMENT, LLC","10210 NORTH CENTRAL EXPRESSWAY, SUITE 300, DALLAS, Texas 75231",480.353.2915,Kurt Hanson,Babcock Design,"52 Exchange Place, Salt Lake City, Utah 84111",(801) 433-4309,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021425
Passion Dance Center,TABS2025021411,Mustang Park Bldg A-2,"3750 FM 1385 & Countyview Drive, Aubrey, TX 76227",Denton,9/1/2025,4/1/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.",Interior Finish-Out,"9,000 ft 2",Passion Dance Center,"3810 FM1385, Aubrey, Texas 76227",(972) 841-6523,,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021411
FM 1171 (CSJ: 1311-01-055),TABS2025021388,CSJ: 1311-01-055,"From: West of FM 156 To: IH 35W, Northlake, TX 76247",Denton,9/1/2028,9/1/2030,"$1,358,425",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construct new 0 to 4/6 lane divided arterial.,"138,334 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,,"Teague Nall and Perkins, Inc.","3200 S. Interstate 35E, Suite 1129, Denton, Texas 76210",(940) 383-4177,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021388
FM 1385 (CSJ: 1315-01-036),TABS2025021380,CSJ: 1315-01-036,"From: Union Park Blvd To: N of Mustang Rd, Aubrey, TX 76227",Denton,3/1/2030,9/1/2032,"$7,696,697",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Widen from 2 lane undivided to 4/6 lanes urban divided.,"684,468 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,,"Lina T. Ramey & Associates, Inc.","3320 Belt Line Road, Farmers Branch, Texas 75234",(214) 979-1144,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021380
Lifepoint Inpatient Rehabilitation Hospital - Denton,TABS2025021363,Lifepoint Inpatient Rehabilitation Hospital - Denton,"3135 Heritage Trail, Denton, TX 76201",Denton,9/1/2025,12/30/2026,"$33,000,000",New Construction,"This project is privately funded, on private land for private use.","59,355 SF 40 bed physical rehabilitation inpatient hospital, including Physical Therapy Gym with in-house kitchen and dining. ","59,355 ft 2","Capital Growth Medvest Denton, LLC","361 Summit Blvd. Suite 220, Birmingham, Alabama 35243",205-994-4498,Corbin Clinage,"Earl Swensson Associates, Inc.","1033 Demonbreun St. Suite 800, Nashville, Tennessee 37203",615-760-6832,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021363
"Walmart #426 - Colony, TX",TABS2025021314,"Wal-Mart Stores, INC","4691 State HWY 121, The Colony, TX 75056",Denton,1/25/2026,2/20/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel to an existing Walmart location. Front end transformation to replace registers. Relocating chicken warmer. ,"10,850 ft 2",Wal-Mart Stores Texas LP,"2608 SE J St, Bentonville, Arizona 72716",(479) 213-2983,,ms consultants.inc,"2221 Schrock Rd, Columbus, Ohio 43229",(614) 898-7100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021314
