project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
LUMITY,TABS2025019217,LUMITY,"13600 COIT RD #STE. 103, Frisco, TX 75035",Denton,9/1/2025,12/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"1,206 ft 2",BOSHA HOLDINGS LLC,"8720 RUGBY DR, IRVING, Texas 75063",(972) 806-8450,PRAVEEN REKAPALLI,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019217
Denton Exchange 35 Middle Spec Suite,TABS2025019128,Denton Exchange 35,"6901 N I-35 Bldg. 1, Denton, TX 76207",Denton,6/1/2025,9/1/2025,"$487,653",Additions to Existing Building,"This project is privately funded, on private land for private use.",Spec Office Addition,"3,585 ft 2",EastGroup Properties,"7301 N. State highway 161, Suite 215, Irving, Texas 75039",(972) 386-8700,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019128
Playa Bowls Coppell,TABS2025019115,Coppell Town Center,"106 North Denton Tap Road Suite 230, Coppell, TX 75019",Denton,7/8/2025,9/15/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovating space into a Playa Bowls store.  Playa Bowls sells fresh acai berry, mango, coconut bowls as well as smoothies and cold brew coffee.","1,404 ft 2",KRG Coppell Town LLC,"30 S Meridian Street Suite 1100, Indianapolis, Indiana 46204",(312) 219-2527,Shannon Williams,GRA Design Studio,"1924 US 22, Bound Brook, New Jersey 08808",973-668-7465,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019115
AussieAir Purifiers,TABS2025019077,AussieAir Purifiers,"1550 Western Blvd Suite 160, Denton, TX 76207",Denton,5/30/2025,8/30/2025,"$135,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project consists of install new electrical, mechanical and plumbing for new equipment layout in the warehouse area. ","20,800 ft 2",Nicklas Keller,"1550 Western Blvd Suite 160, Denton, Texas 76207",(479) 799-0757,,Bates Martin Architects,"2222 San Jacinto Blvd, Suite 300, Denton, Texas 75035",(940) 387-4881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019077
Centex Office Renovation,TABS2025019061,Centex Office - Lewisville,"438 Southlake Fork Dr. Lewisville TX, Lewisville, TX 75057",Denton,6/16/2025,8/20/2025,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of existing office space. ,"8,500 ft 2",Centex Construction,"23422 Lutheran Cemetery Rd., Austin, Texas 77377",(325) 513-0015,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019061
Sephora,TABS2025019051,The Highlands of Flower Mound,"6101 Long Prairie Rd Suite 100, Flower Mound, TX 75028",Denton,2/2/2026,3/27/2026,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project is a remodel of an existing tenant fit-out of approximately 4541 SF. Work includes, new and relocated sales floor fixtures, floor finish replacement and minor electrical work, existing storefront to remain as is. ","4,541 ft 2","IVT Highlands at Flower Mound, LP","3025 S. Highland Parkway, Suite 350, Downers Grove, Illinois 60515",(630) 570-0737,Kathy Thornton,Sargenti Architects,"234 E. Colorado Blvd. Suite 850, Pasadena, California 91101",(314) 680-7057,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019051
Denton Point Building 3 - West Spec Office,TABS2025019024,Denton Point Building 3,"710 N. Masch Branch Rd., Denton, TX 76207",Denton,6/1/2025,9/1/2025,"$440,000",New Construction,"This project is privately funded, on private land for private use.","New spec office with an open office space, break room, and restrooms","3,278 ft 2",Masch Branch Industrial LP,"5850 Berkshire Lane Suite 900, Dallas, Texas 75225",(214) 458-6326,,"RGA Architects, inc.","301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019024
Denton Point Building 5 - East Spec Office,TABS2025019021,Denton Point Building 5,"4610 Jim Christal Rd., Denton, TX 76207",Denton,6/1/2025,9/1/2025,"$387,000",New Construction,"This project is privately funded, on private land for private use.","New spec office with an open office space, break room, and restrooms","3,821 ft 2",Masch Branch Industrial LP,"5850 Berkshire Lane Suite 900, Dallas, Texas 75225",(214) 458-6326,,"RGA Architects, inc.","301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019021
Hunter Ranch - Phase 1A - 1D,TABS2025018996,N/A - common spaces,"10014 Oak Glade Drive, Denton, TX 76258",Denton,9/1/2025,9/1/2026,"$16,000,000",New Construction,"This project is privately funded, on private land for private use.","Open spaces, playground, walking trails, outdoor pavilion, outdoor observation deck, seating areas ","335,000 ft 2","Landmark Phase 1, LLC","3000 Turtle Creek Blvd, Dallas, Texas 7219",972-201-2852,,Kimley-Horn,"2500 Pacific Ave, Ste 1100, Dallas, Texas 75226",(469) 718-8849,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018996
Tint World,TABS2025018938,Commerce Center,"3801 N. Interstate 35, Denton, TX 76207",Denton,7/15/2025,9/30/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior only tenant improvement,"3,391 ft 2",Elk Springs Ranch Earl Harrington,"4880 Long Prairie Rd. #200, Flower Mound, Texas 75028",(940) 220-7489,,ND Enterprises LLC,"6501 E. Greenway Pkwy #103-707, Scottsdale, Arizona 85254",(480) 297-5577,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018938
Metroplex Gymnastics & Swim,TABS2025018817,Metroplex Gymnastics & Swim,"3730 FM 1385 & Countyview Drive, Aubrey, TX 76227",Denton,6/15/2025,2/1/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.",Interior Finish-Out,"24,955 ft 2",Metroplex Gymnastics & Swim,"205 E. Bethany Drive Suite # 215, Allen, Texas 75002",(214) 228-2352,,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018817
