project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
ZAG Restaurant,TABS2026013776,Colony Park Shopping Center,"5000 Main St., The Colony, TX 75056",Denton,3/5/2026,6/5/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation work for a restaurant facility,"2,477 ft 2","Colony PPC,L.P.","7116 Valjean Ave., Van Nuys, California 91406",(214) 676-3532,Adebanke Oguntowo,"Blas Planning and Construction,Llc","1419 Memory Ln., Dallas, Texas 75217",(214) 927-8556,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013776
Arbor Hills Nature Preserve - Playground Renovations,TABS2026013751,City of Plano,"6701 W. Parker, Plano, TX 75093",Denton,4/1/2026,4/1/2027,"$1,800,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","The improvements are located within 452,120 SF of the preserve. Removal of existing playground equipment and replacement of new play equipment, enhancements to the accessible route, parking, and signage. Upgrades to the existing restroom facilities. ","452,120 ft 2",City of Plano,"5901 Los Rios Blvd., Plano, Texas 75074",972-941-7532,,Dunaway,"550 Bailey Ave  #400, Fort worth, Texas 76107",(817) 335-1121,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013751
QuikTrip # 870  Fryer Project,TABS2026013710,QuikTrip # 870,"3113 W University Dr., Denton, TX 76207",Denton,3/22/2026,4/6/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units.  Project 300sf ,300 ft 2,"QT SOUTH, LLC","4705 S 129th East Ave., Tulsa, Oklahoma 74134",(945) 455-6426,,"Daniel D Filuk, Architect","1747 E. MORTEN AVE SUITE 111, PHOENIX, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013710
Argyle ISD 377 Campus- Auditorium and Athletics,TABS2026013708,Argyle Middle School,"191 US-377 N, Argyle, TX 76226",Denton,5/7/2026,9/10/2026,"$4,800,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation Work of the Auditorium and locker rooms,"28,500 ft 2",ARGYLE ISD,"6701 Canyon Falls Drive, Flower Mound, Texas 76226",817.819.2249,,Pfluger Architects,"603 Munger Ave STE 100, Dallas, Texas 75202",469.333.2121,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013708
Teltech Downsize,TABS2026013707,DFW North IV,"1901 Lakeside Pkwy, Flower Mound, TX 75028",Denton,3/1/2026,5/31/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Addition of new full height partition wall to demise space into two suites.,"91,785 ft 2",BTC III DFW NORTH IV LLC,"2601 Olive Street Suite 2150, Dallas, Texas 75201",(214) 451-0413,,Meinhardt & Associates Architects P.L.L.C.,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013707
Phase 15A Street Reconstruction,TABS2026013664,Mulitple Residential Streets,"Chapman St, The Colony, TX 75056, The Colony, TX 75056",Denton,9/1/2026,9/1/2027,"$5,100,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Reconstruction of the paving, waterline, and sanitary sewer for Chapman Street (approx. 1,600 LF), Bartlett Place (approx. 620 LF), and Independence Drive (approx. 1,800 LF). Streetlight improvements have also been included in the scope.  ","226,500 ft 2",City of The Colony,"6053 Main Street, The Colony, Texas 75056",(972) 624-3148,,"Quiddity Engineering, LLC","2805 Dallas Pkwy # 600, Plano, Texas 75093",(979) 307-6148,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013664
Stage & Food Kiosk Addition,TABS2026013638,Stage & Food Kiosk Addition/Ranchman's,"110 W. Bailey St, Ponder, TX 76259",Denton,4/1/2026,6/1/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Additional buildings on site of existing restaurant,"1,200 ft 2",Ranchman's Restaurant LLC,"2664 FM 407, Bartonville, Texas 76226",(972) 849-5177,,Arbuckle Art & Design,"2926 Furneaux Ln, Carrollton, Texas 75007",(214) 418-7735,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013638
BEST BRAINS,TABS2026013571,BEST BRAINS,"1605 MAIN ST #STE. 108, Providence Village, TX 76227",Denton,9/26/2026,3/1/2027,"$130,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"2,158 ft 2",BBD PROVIDENCE VILLAGE PARTNERS LLC,"5801 TENNYSON PKWY #STE. 190, PLANO, Texas 75024",(214) 277-4830,LOLA ANIBABA,BEAR DESIGN BUILD,"2695 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013571
Model Home Furst Ranch,TABS2026013560,Highland Homes Model Home,"2104 Rangeland Way, Bartonville, TX 76226",Denton,2/9/2026,3/30/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.",Highland Homes Model Home for residential construction  ,"3,000 ft 2",Highland Homes,"9900 Hillwood Parkway, Suite 120, Fort Woth, Texas 76244",(817) 233-5823,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013560
Waxxed Cards Denton,TABS2026013520,The Shops at Colorado,"2315 Colorado Blvd, Denton, TX 76205",Denton,2/28/2026,5/15/2026,"$334,798",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of a retail store into a collectables store. Adding offices and a breakroom.,"11,879 ft 2","West Coast Highway, LLC","2931 Ridge Road suite 101-137, Rockwall, Texas 75032",(949) 500-4777,Cortne Bishop,Interior Design Group,"2307 Oak Forest Ct, Arlington, Texas 76012",(817) 469-1171,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013520
