project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Princeton ISD Elementary School #9,TABS2025005644,Princeton ISD Carrell Elementary School,"Brookside Blvd., Princeton, TX 75407",Collin,3/1/2025,8/1/2026,"$36,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New construction of elementary school.,"79,000 ft 2",Princeton Independent School District,"321 Panther Parkway, Princeton, Texas 75407",(469) 952-5400,,Claycomb Associates Architects,"6600 LBJ Freeway Suite 200, Dallas, Texas 75240",(972) 233-6100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005644
Ready Suite 700,TABS2025005638,Granite Park 6,"5525 Granite Parkway, Plano, TX 75024",Collin,11/15/2024,12/31/2024,"$336,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,712 ft 2",Granite Prperties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731-2308,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005638
YUM OF INDIA,TABS2025005636,YUM OF INDIA,"1530 S INDEPENDENCE PKWY #STE. 280, Mckinney, TX 75072",Collin,1/1/2025,12/31/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"5,443 ft 2",SHOPS AT WESTRIDGE LLC,"742 LAGUNA, IRVING, Texas 75039",(408) 655-4291,KRISHNA SWETH,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005636
Funcity Trampoline Park,TABS2025005605,Funcity Trampoline Park,"1300 Custer Road, Plano, TX 75075",Collin,12/1/2024,4/30/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The existing space was a furniture retail store. The work is to renovate it to be a trampoline park. The work includes electrical, plumbing, HVAC and cosmetic work.","42,000 ft 2",Slink Holding LLC,"4350 Gannon Lane, Dallas, Texas 75237",(469) 569-7466,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005605
Qorvo,TABS2025005596,Qorvo,"500 W Renner Rd., Richardson, TX 75082",Collin,12/1/2024,3/31/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation for breakroom/restrooms,660 ft 2,"Triquint Semiconductor Texas, LLC","500 W. Rennder Rd., Richardson, Texas 75080",(214) 546-3223,,"GSO Architects, Inc.","5310 Harvest Hill Rd. Suite 226 LB. 156, Dallas, Texas 75230",(972) 385-9651,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005596
Hudson House,TABS2025005583,The Center at Preston Ridge,"3475 Preston Road, Frisco, TX 75034",Collin,1/6/2025,5/12/2025,"$865,250",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of an existing restaurant for a new restaurant tenant ,"6,865 ft 2",BRE Retail Residual Owner LLC,"450 Lexington Avenue Floor 13, New York, New York 10017",(214) 618-6510,Wes Freeman,Jones Baker Design,"1922 S Akard St, Dallas, Texas 75215",(214) 426-5600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005583
SOK Dental,TABS2025005571,Doe Branch Office Park,"235 S Preston Road, Celina, TX 75009",Collin,1/14/2025,5/15/2025,"$486,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out for a proposed dental office.,"3,240 ft 2","Doe Branch Partners, LLC","4261 E. University Dr. Suite 30-361, Prosper, Texas 75078",(940) 367-3089,Dr. Shireen Khan,OTTO Architecture & Design,"601 N Hampton St Apt 1207, Fort Worth, Texas 76102",(949) 939-7105,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005571
Celina West Shops C,TABS2025005558,Celina West Shops,"SWC Preston Rd & Ownsby Pkwy, Celina, TX 75009",Collin,2/1/2025,8/1/2025,"$1,950,000",New Construction,"This project is privately funded, on private land for private use.","THIS PROJECT INVOLVES (NEW) SHELL CONSTRUCTION PERTAINING TO RETAIL (SHOPS C - 14,036 S.F.) TO BE LOCATED IN CELINA WEST - SHOPS C - RETAIL IN CELINA, TX.","14,036 ft 2","Trinity Celina, LLC","1110 Cowan Rd, Frisco, Texas 75009",(214) 223-9077,,CDA Architects,"20445 State Hwy 249, Houston, Texas 77070",(832) 678-9232,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005558
Spec Suite 400,TABS2025005552,International Business Park,"6275 West Plano Pkwy, Plano, TX 75093",Collin,12/4/2024,2/7/2025,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish-out of an existing shell space.,"24,240 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",(972) 820-2236,,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005552
ALZOUBI SHOPPING MARKET,TABS2025005542,ALZOUBI SHOPPING MARKET,"1804  AUDIE MURPHY PKWY, Farmersville, TX 75442",Collin,9/1/2025,1/1/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",NEW BUILDING SHELL,"5,900 ft 2",Akram Alzoubi,"1804 audie murphy pkwy, farmersville, Texas 75442",(469) 855-4068,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005542
"ZHANG, HUAYI - Medical",TABS2025005518,MEDICAL OFFICE LEASE SPACE,"8780 COLLIN MCKINNEY PKWY SUITE 200, Mckinney, TX 75070",Collin,11/18/2024,4/21/2025,"$196,825",New Construction,"This project is privately funded, on private land for private use.",interior finish out for medical office space,"1,500 ft 2","EHS VENTURES, LLC","13651 WICKHAM LN, FRISCO, Texas 75035",414-861-5745,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005518
"ZHANG, HUAYI",TABS2025005513,BLUEBONNET DERMATOLOGY,"8780 COLLIN MCKINNEY PKWY SUITE 100, Mckinney, TX 75070",Collin,11/29/2024,4/21/2025,"$370,600",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR DERMATOLOGY OFFICE,"3,000 ft 2","PROPERTY OWNER IS EHS VENTURES, LLC","13651 WICKHAM LN, FRISCO, Texas 75035",414-861-5745,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005513
Catapult Solutions Group,TABS2025005467,Preston Park Towers,"4965 Preston Park Blvd. Suite 800, Plano, TX 75093",Collin,11/14/2024,1/31/2025,"$300,004",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to tenant suite,"10,920 ft 2",Preston Park Office Center LLC / TerraCap Management,"999 Vanderbilt Beach Rd. Suite 701, Naples, Florida 34108",(239) 540-2022,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005467
Action Behavior Center North McKinney Expansion,TABS2025005456,Action Behavior Center North McKinney Expansion,"3791 Virginia Pkwy, Suite 200, Mckinney, TX 75071",Collin,12/1/2024,10/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",A tenant expansion project into an adjacent shell suite for Action Behavior Centers office and therapy clinic.,"2,500 ft 2","Shoppes at Virginia, LP","P.O. Box 16954, Sugarland, Texas 77496",(281) 512-6604,Connor Coleman,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005456
THE LOIS HEAD SPA,TABS2025005441,CELINA RETAIL CENTER,"590 W FRONTIER PARKWAY #STE. 140, Prosper, TX 75078",Collin,12/1/2024,12/1/2025,"$260,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"1,643 ft 2",RIPPY & JACQUES LAND COMPANY LLC,"590 W FRONTIER PARKWAY #STE. 100, PROSPER, Texas 75078",(972) 841-6386,RAVEN MOK,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005441
Dollar Tree,TABS2025005424,Store #10609,"5920 W. Park Blvd., Plano, TX 75093",Collin,2/10/2025,4/24/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing tenant retail space.,"14,588 ft 2",5920 West Park Boulevard LLC,"1 Aspen Drive Unit 85, Loveland, Colorado 80538",(970) 677-3886,,CASCO,"12 Sunnen Dr. Suite 100, Saint Louis, Missouri 63143",(314) 821-1100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005424
Plano East – Sidewalk Expansion - West,TABS2025005409,Legacy Corporate Center,"5601 LEGACY DR. PLANO, Plano, TX 75024",Collin,12/9/2024,5/12/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Sidewalk Expansion between properties 5543 & 5601 Legacy Dr.,300 ft 2,USAA,"5543 Legacy Dr., plano, Texas 75024",(210) 262-0678,,PDR corp,"2 Houston Center 909 Fannin St Floor 39, Houston, Texas 77010",(713) 739-9050,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005409
Mooyah-Melissa TX,TABS2025005406,Mooyah,"140 Bucces Blvd Suite 500, Melissa, TX 75454",Collin,1/29/2025,5/29/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out on a new leased space ,"1,212 ft 2",H-E-B Commercial Real Estate,"P.O. Box 839955, San Antoniio, Texas 78283",210.938.8145,Landon Lane-Mooyah,"ID Studio 4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005406
Walmart 6963-1016 Remodel,TABS2025005384,Walmart Store 6963,"521 Central Expy, Anna, TX 75409",Collin,1/6/2025,1/27/2025,"$83,104",Renovation/Alteration,"This project is privately funded, on private land for private use.",Online Pickup: Demo wall & add new auto-slider door - 30sf,30 ft 2,Walmart Real Estate Business Trust,"2608 SE J Street, Bentonville, Arkansas 72716",(479) 277-8735,,Benchmark Group,"1805 N 2nd Street, Rogers, Arkansas 72756",(479) 636-5004,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005384
306 - Cintas Office Add,TABS2025005340,McKinney Airport Bldg A,"1901 FM546, Suite 300, Mckinney, TX 75069",Collin,12/1/2024,1/31/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement within existing lease,864 ft 2,Greystar Development Central LLC,"600 E Las Colinas Blvd, Irving, Texas 75039",817-271-8789,,Meinhardt & Associates,"14643 Dallas Pkwy, suite 636, Dallas, Texas 75254",1-972-934-5406,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005340
Spec Suite 100,TABS2025005304,International Business Park,"6275 WEST PLANO PKWY Suite 100, Plano, TX 75093",Collin,11/11/2024,5/11/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in an existing single floor suite. Scope includes HVAC, electrical, and plumbing. ","3,811 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",(972) 820-2236,,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005304
McKinney Commerce Center - Building C,TABS2025005288,McKinney Commerce Center,"3210 N Central Expy, Mckinney, TX 75071",Collin,12/31/2024,11/30/2025,"$4,900,000",New Construction,"This project is privately funded, on private land for private use.",New industrial shell building & spec office,"67,965 ft 2",Rockefeller Group,"6060 N. Central Expy, Suite 500, Dallas, Texas 75206",(977) 777-0929,,RGA Architects,"301 S Oak St #100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005288
McKinney Commerce Center - Building B,TABS2025005287,McKinney Commerce Center,"3210 N Central Expy, Mckinney, TX 75071",Collin,12/31/2024,11/30/2025,"$12,700,000",New Construction,"This project is privately funded, on private land for private use.",New industrial shell building & spec office,"175,946 ft 2",Rockefeller Group,"6060 N. Central Expy, Suite 500, Dallas, Texas 75206",(977) 777-0929,,RGA Architects,"301 S Oak St #100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005287
McKinney Commerce Center - Building A,TABS2025005285,McKinney Commerce Center,"3210 N Central Expy, Mckinney, TX 75071",Collin,12/31/2024,11/30/2025,"$5,400,000",New Construction,"This project is privately funded, on private land for private use.",New industrial shell building & spec office,"75,436 ft 2",Rockefeller Group,"6060 N. Central Expy, Suite 500, Dallas, Texas 75206",(977) 777-0929,,RGA Architects,"301 S Oak St #100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005285
Eldorado Pool and Turn Bar,TABS2025005275,Eldorado Country Club,"2604 Country Club Dr., Mckinney, TX 75072",Collin,1/6/2025,4/15/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Add outdoor bar to the covered porch of the existing pool building. Work includes selective demolition, fencing, framing for bar die wall, and finishes. ",120 ft 2,SSB Eldorado LLC,"2604 Country Club Dr., McKinney, Texas 75072",(972) 529-6779,,"Kraft Architecture, LLC","2403 Briarfield Drive, Richardson, Texas 75080",(972) 898-1246,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005275
Tavant,TABS2025005243,Parkway Center II,"2805 N. Dallas Parkway Suite 222, Plano, TX 75093",Collin,11/18/2024,1/13/2025,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant developent,"3,900 ft 2","Parkway Centre II & III, LLC","2901 Dallas Parkway Suite 345, Plano, Texas 75093",(972) 608-9686,,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, TX 75240",9-727-770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005243
"Primrose School - Melissa, TX",TABS2025005216,"Primrose School - Melissa, TX","Harrison St & Concho Dr. (site is located at SW, Melissa, TX 75454",Collin,2/1/2025,12/31/2025,"$4,600,000",New Construction,"This project is privately funded, on private land for private use.","Proposed 13,000 SF Primrose Daycare building with playground area.","13,000 ft 2",St. Louis,"12 Sunnen Drive, Suite 100, St. Louis, Missouri 63143",(618) 910-4498,,CASCO Diversified Corporation,"12 Sunnen Drive, Suite 100, St. Louis, Missouri 63143",618-520-9591,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005216
Skin Pharm Tampa,TABS2025005207,The Apex I at Legacy,"5801 Headquarters Dr Ste 900, Plano, TX 75204",Collin,12/1/2024,2/28/2025,"$515,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"2,852 ft 2",Plano Cabosparkles HQ2 LLC,"5801 Headquarters Dr, Plano, Texas 75024",248-705-9278,Cecilia Oaks,Mark Vetter Architecture,"58 E 4th St, Brooklyn, New York 11218",347-513-7381,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005207
