project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Drybar,TABS2026012630,Gates of Prosper,"1081 GATES PKWY Ste 400, Prosper, TX 75078",Collin,4/1/2026,7/1/2026,"$295,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1st Gen Tenant Finish for a Salon,"1,507 ft 2",GOP #3 LLC,"1 Cowboys Way St 300, Frisco, Texas 75034",(214) 437-3653,Stephanie Parker,Design Parameters LLC,"6373 Silver Stream Ln, Frisco, Texas 75036",(214) 784-5014,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012630
Celestica AST Plano,TABS2026012625,Celestica,"1100 Klein Rd, Plano, TX 75074",Collin,2/23/2026,5/1/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Painting, epoxy flooring, mechanical, electrical and plumbing hook ups. ","60,000 ft 2",AJB Partners LP,"3465 Technology Dr, Plano, Texas 75074",(214) 440-1234,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012625
Cognizant | Plano | Experience Renovation,TABS2026012565,Dominion Legacy Office Center,"8383 Dominion Pkwy, Suite 556, Plano, TX 75024",Collin,10/20/2025,5/27/2026,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project includes the interior renovation and documentation of approximately 14,500 square feet of existing office space on floor 1 at 8383 Dominion Parkway, Suite 556, Plano, TX 75024","14,500 ft 2",Cognizant Technology Solutions,"8383 Dominion Pkwy, Suite 556, Plano, Texas 75024",(602) 741-7706,,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",214-866-3181,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012565
Wintrust,TABS2026012555,HALL Park Sculpture III,"3201 Dallas Parkway, Suite 800, Frisco, TX 75034",Collin,2/15/2026,6/1/2026,"$66,200",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 18,977 sft of selected demolition and renovation for existing commercial office.","18,977 ft 2","HALL 3201 Dallas, INC","2323 Ross Ave, Ste. 200, Dallas, Texas 75201",214-470-4266,Wintrust - Mary Woodward,Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",214-460-6485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012555
Shield AI Interior Renovations,TABS2026012551,Shield AI,"16240 Gateway Path STE 400, Frisco, TX 22203",Collin,3/4/2026,8/6/2026,"$1,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovations for existing tenant to construct new offices and conference room totaling approx. 3,000 sq. ft.","3,000 ft 2",Shield AI,"600 W Broadway STE 600, San Diego, California 92101",(945) 800-7083,,FOCUS: architecture+design,"4501 Fairfax Drive STE 120, Arlington, Virginia 22203",703-527-2280,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012551
Spec Suite - Phase II - Suite 625,TABS2026012545,Hall Park Sculpture II,"3001 Dallas Parkway, Suite 625, Frisco, TX 75034",Collin,2/1/2026,6/1/2026,"$187,379",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 1,611 sft of demolition and renovation for existing commercial office.","1,611 ft 2",Hall 3001 Dallas LLC,"2323 Ross Ave. Suite 200, Dallas, Texas 75201",(214) 470-4266,,ENTOS,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012545
Ruiz Foods,TABS2026012538,HALL Park Sculpture II,"3001 Dallas Parkway, Suite 610, Frisco, TX 75034",Collin,2/15/2026,6/1/2026,"$167,790",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 6,540 sft of demolition and renovation for existing commercial office.","6,540 ft 2","HALL 3001 Dallas, LLC","2323 Ross Ave, Ste. 200, Dallas, Texas 75201",214-470-4266,"Jeff Trykoski, Ruiz Foods",Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012538
CELINA WELLNESS STUDIO,TABS2026012530,CELINA WELLNESS STUDIO,"2700 W FRONTIER PKWY #STE. 100, Prosper, TX 75078",Collin,6/1/2026,6/1/2027,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,802 ft 2",NWC TOLLWAY / FRONTIER LP,"3102 MAPLE AVE #STE. 500, DALLAS, Texas 75201",(214) 720-3633,SKYLER BLATTNER,BEAR DESIGN BUILD,"2695 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012530
Spec Suite - Phase II - Suite 375,TABS2026012510,HALL Park I,"2601 Network, Suite 375, Frisco, TX 75034",Collin,2/1/2026,6/1/2026,"$225,549",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 2,191 sft of demolition and renovation for existing commercial office.","2,191 ft 2","HALL 2601 Network Associates, LLC","6801 Gaylord Pkwy Ste. 100, Frisco, Texas 75034",(214)470-4266,,ENTOS,"5400 LBJ Freeway, Suite 125, Dallas,, Texas 75240",(972)770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012510
Spec Suite - Phase II - Suite 620,TABS2026012503,Hall Park Sculpture II,"3010 Gaylord Parkway, Suite 220, Frisco, TX 75034",Collin,2/1/2026,6/1/2026,"$245,086",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 2,640 sft of demolition and renovation for existing commercial office.","2,640 ft 2",Hall 3001 Dallas LLC,"2323 Ross Ave. Suite 200, Dallas, Texas 75201",(214) 470-4266,,ENTOS,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012503
Chase Anna Parkway,TABS2026012483,Chase Anna Parkway,"SEC US 75 and Rosamond Parkway, Anna, TX 75409",Collin,5/1/2026,11/1/2026,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.","New Construction of a 1-Story Retail Banking Center w/ Drive-Up ATM and Night Drop (AHD) - (3,319 sq ft)","3,319 ft 2","SGI ANNA SEC-I, LLC","1110 Cowan Road, Celina,, Texas 75009",(877) 244-8532,"Joe Hernandez, JPMorgan Chase Bank","Rouch Architects, LLC","1201 Main Street, Suite 1750, Dallas, Texas 75202",(214) 997-6029,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012483
6500 Preston Road Exterior Stairs,TABS2026012473,6500 Preston Road,"6500 Preston Road, Frisco, TX 75034",Collin,4/1/2026,4/1/2027,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",updating exterior stairs,668 ft 2,GLM Joint Ventures,"6500 Preston Road, Frisco, Texas 75034",214-215-6112,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012473
Spec Suite - Phase II - Suite 230,TABS2026012458,Hall Park Sculpture I,"3010 Gaylord Parkway, Suite 230, Frisco, TX 75034",Collin,2/1/2026,6/1/2026,"$231,510",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 3,179 sft of demolition and renovation for commercial office.","3,179 ft 2","HALL 3010 Gaylord Parkway, LLC","2323 Ross Ave. Suite 200, Frisco, Texas 75034",(214) 470-4266,,ENTOS,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012458
Promontory Retail,TABS2026012450,Building 4,"SE Corner of Preston & Spring Creek, Plano, TX 75024",Collin,8/1/2026,6/30/2027,"$1,700,000",New Construction,"This project is privately funded, on private land for private use.","9,760 SF shell retail building and site modifications.","9,760 ft 2",Promontory LTD,"2801 Woodside St., Dallas, Texas 75204",(972) 616-8785,,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012450
Promontory Retail,TABS2026012445,Building 3,"SE Corner of Preston & Spring Creek, Plano, TX 75024",Collin,8/1/2026,6/30/2027,"$1,487,000",New Construction,"This project is privately funded, on private land for private use.","8,500 SF shell retail building and site modifications.","8,500 ft 2",Promontory LTD,"2801 Woodside St., Dallas, Texas 75204",(972) 616-8785,,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012445
Promontory Retail,TABS2026012438,Building 2,"SE Corner of Preston & Spring Creek, Plano, TX 75024",Collin,8/1/2026,6/30/2027,"$1,740,000",New Construction,"This project is privately funded, on private land for private use.","9,840 SF shell retail building and site modifications.","9,840 ft 2",Promontory LTD,"2801 Woodside St., Dallas, Texas 75204",(972) 616-8785,,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012438
