project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Gloss Salon & Co.,TABS2024013466,Gloss Salon & Co.,"120 S. Preston Rd. Suite 30, Prosper, TX 75078",Collin,4/8/2024,6/14/2024,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Gloss Salon is a tenant finish out of an existing building.  The finish out will include two private suites, an open salon station area, restroom and break room.  ","1,521 ft 2",Kevin Atchley,"120 S. Preston Rd. Ste. 10, Prosper, Texas 75078",(505) 710-3952,Anna Fields,Harvest Home Designs LLC,"2867 Majestic Ave, McKinney, Texas 75071",(918) 884-8918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013466
RPMx Construction Interiors,TABS2024013452,6500 Meyer Way,"6500 Meyer Way, Suite 100, 140 & 249, Mckinney, TX 75070",Collin,3/15/2024,9/15/2024,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior renovation and construction,"6,500 ft 2","RPMx Construction, LLC","6500 Meyer Way, Suite 100, Mckinney, Texas 75070",(469) 446-4130,,Kline Hardin Architects,"701 Canyon Dr., Suite 110, Coppel, Texas 75019",(972) 331-5699,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013452
MathWorks,TABS2024013448,Lincoln Legacy II,"5810 Tennyson Parkway, suite 425, Plano, TX 75024",Collin,3/4/2024,6/14/2024,"$804,570",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation of existing office space for tenant use,"11,859 ft 2",Lincoln Legacy CS LLC,"14567 N. Outer 40 Rd., suite 350, Chesterfield, Missouri 63017",(314) 787-7099,V Raskovic,Interprise,"14241 Dallas Parkway, Suite 260, Dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013448
Casa Bella,TABS2024013447,na,"3210 Milrany Lane, Melissa, TX 75454",Collin,4/1/2024,6/1/2024,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Furniture store finish out,"2,304 ft 2",Milrany Striker,"15640 Quorum Drive, Addison, Texas 75001",(917) 975-4349,Jennifer Hutchinson,Batten Architects,"P.O. Box 461, Celeste, Texas 75423",214-763-6815,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013447
Apricot Lane Boutique Finish Out,TABS2024013436,Apricot Lane Boutique,"312 W Walnut, Celina, TX 75009",Collin,3/11/2024,4/30/2024,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Build out of clothing boutique.  Framing, Electrical, HVAC, NO Plumbing work in the scope.","1,350 ft 2",Celina Real Estate LLC,"16400 Dallas Pkwy Ste 100, Dallas, Texas 75248",(972) 345-0344,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013436
Professional Black Belt Academy Celina,TABS2024013430,Prestige Plaza of Celina Bldg 5,"555 S Preston Road Sutie 130, Celina, TX 75009",Collin,4/23/2024,6/28/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior renovation of tenant lease space,"2,908 ft 2","Advanced Planning, Inc.","566 N. Kimball Ave Suite 120, Southlake, Texas 76092",(817) 416-1975,Bruce Newman,Ward Architecture PLLC,"5004 Thompson Terrace Suite 107, Colleyville, Texas 76034",(817) 281-5600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013430
Southfork Murphy Veterinary Hospital,TABS2024013429,Southfork Murphy Veterinary Hospital,"1020 North Murphy Rd., Murphy, TX 75094",Collin,5/1/2024,2/1/2025,"$1,850,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a veterinary hospital,"5,000 ft 2",Dr. Hector Carbonell,"627 W. FM 544, Murphy, Texas 75059",(972) 516-0717,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013429
Slayter Creek Park Restroom and Improvements,TABS2024013397,Slayter Creek Park,"425 W Rosamond Pkwy, Anna, TX 75409",Collin,3/11/2024,5/16/2024,"$180,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Construct a small restroom building (272 SF interior space) with attached pavilion (450 SF outdoor space); concrete walkways, parking modification, irrigation modification.",752 ft 2,City of Anna,"120 W 7th St, Anna, Texas 75409",(817) 995-6092,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013397
Frisco Brewery & Entertainment Facility,TABS2024013348,Rollertown Brewery,"14135 Midway Road, NEC OF MAIN ST. + JOHN ELLIOTT DR., Frisco, TX 75033",Collin,4/15/2024,4/15/2025,"$10,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New Brewery and Restaurant/Taphouse and entertainment facility.,"13,000 ft 2",City of Frisco,"6101 Frisco Square Boulevard, Frisco, Texas 75034",972-292-5000,,PGAL,"14135 Midway Road, Suite G-200, Addison, Texas 75001",(469) 274-2685,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013348
Children's Health - Public Spaces Interior Renovation,TABS2024013341,Children's Health,"7601 Preston Rd, Plano, TX 75024",Collin,4/1/2024,10/1/2024,"$2,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Finish Upgrades, reception desk modification and admitting bays modification","3,000 ft 2",Children's Health,"7601 Preston Rd, Plano, Texas 75024",(214) 244-9109,,Perkins & Will,"2218 Bryan St, Dallas, Texas 75201",(214) 283-8772,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013341
