project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
KWALITY ICECREAM FRISCO,TABS2024022947,MAIN STREET COMMONS,"13089 MAIN ST #STE. 500, Frisco, TX 75035",Collin,7/20/2024,9/20/2024,"$80,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,760 ft 2",C&M FRISCO RETAIL ONE LLC,"8765 STOCKARD DR #STE. 501, FRISCO, Texas 75034",(972) 965-7751,RAJU VIKEY,LUBULA KANYINDA,"7420 Lake Front Trl, ARLINGTON, Texas 75006",(682) 551-6960,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022947
Highland Homes Office Renovation- Suite 300,TABS2024022942,Parkwood Place I,"5601 Democracy Drive Suite 300, Plano, TX 75024",Collin,7/16/2024,9/6/2024,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing offices an added area for new cubicles ,"4,500 ft 2",Parkwood Building Owner LLC,"52 Vanderbilt Ave, New York, New York 10017",(214) 924-6945,Dennis Fuson,Stenstrom Schneider Inc,"13748 Neutron Rd Suite 120, Dallas, Texas 75244",(214) 461-9831,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022942
West Grove Apartments,TABS2024022927,Leasing Facility,"1700 Custer Road, Mckinney, TX 75071",Collin,12/24/2024,12/24/2025,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Leasing Facility 2000 sf,"2,000 ft 2",Milhaus,"550 E Washington Street, Indianapolis, Indiana 46204",(817) 714-1763,,HEDK,"4595 Excel Parkway, Addison, Texas 75001",(214) 520-8878,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022927
Highland Homes Office Renovation- Suite 245,TABS2024022926,Parkwood Place I,"5601 Democracy Drive Suite 245, Plano, TX 75204",Collin,7/16/2024,9/6/2024,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing Training Room and Kitchen/Breakroom,"2,949 ft 2",Parkwood Building Owner LLC,"52 Vanderbilt Ave, New York, New York 10017",(214) 924-6945,Dennis Fuson,Stenstrom Schneider Inc,"13748 Neutron Rd Suite 120, Dallas, Texas 75244",(214) 461-9831,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022926
Xpress Wellness Tenant Improvement Project,TABS2024022910,Victory Shop at Lavon,"905 South Highway 78 Suite F, Lavon, TX 75166",Collin,8/1/2024,10/31/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",finish out a 3500 medical office,"3,500 ft 2","Victory Shops at Seventy 8, LLC","905 South Highway 78, lavon, Texas 75166",(469) 213-7869,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022910
"Public Storage (PS #27333) Renovation Bldg. A, D, E, 7 F",TABS2024022908,Public Storage (#PS27333),"1415 N Custer Road, Mckinney, TX 75071",Collin,11/1/2024,11/29/2024,"$305,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing self-storage units A 3200SF D 2045SF E 2600 SF F 2760 SF,"10,655 ft 2",Public Storage,"2200 K Ave Ste 200, Plano, Texas 75074",214501105,,Kaufman Design Group Inc,"9415 E Harry St Ste 405, Wichita, Kansas 67207",(316) 618-0448,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022908
UCD-Coit Marketplace-Lot 8,TABS2024022870,Coit Marketplace-Lot 8,"Highway 121 @ Coit Rd., Plano, TX 75025",Collin,9/30/2024,3/31/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New construction of shell building and associate site improvements.,"13,000 ft 2","Coit Marketplace, LP","7001 Preston Rd., Ste 410, Plano, Texas 75205",(214) 533-5225,,Heights Venture Architecture + Design,"5741 Legacy Dr., Ste. 320, Plano, Texas 75024",(281) 854-6138,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022870
Walmart Store #5210 ESS,TABS2024022856,Walmart Store #5210,"2050 N Hwy 78, Wylie, TX 75098",Collin,5/2/2025,5/28/2025,"$115,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installing emergency exterior and interior doors,120 ft 2,Walmart Real Estate Business Trust,"PO Box 8050, Bentonville, Arkansas 72712",(479) 273-4000,,pb2 architecture + engineering,"4886 W Pauline Whitaker Pkwy, Ste 200, Rogers, Arkansas 72758",(479) 636-3545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022856
India Bazaar McK,TABS2024022834,7th India Plaza,"6701 Collin McKinney Pkwy Suite 1, Mckinney, TX 75070",Collin,11/1/2024,5/30/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out,"14,006 ft 2",India Bazaar,"8450 Angels Drive, Plano, Texas 75024",(469) 352-3127,,East Star Design,"PO Box 53, Forney, Texas 75126",(972) 200-7340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022834
Albers Aerospace - Redbud Suite 400,TABS2024022831,FIRST UNITED BANK - REDBUD FACILITY,"1700 Redbud Blvd, Mckinney, TX 75069",Collin,7/31/2024,10/4/2024,"$330,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",MINOR ALTERATIONS TO EXISTING OFFICE LEASE,"10,912 ft 2",FIRST UNITED BANK & TRUST COMPANY,"1400 W. MAIN STREET Suite F, DURANT, Oklahoma 74702",(631) 428-4741,JASON JULIAN,GO STUDIO,"1201 MAIN STREET SUITE 1370, DALLAS, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022831
