project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
214_Pandora_Stornbriar Centre,TABS2025010881,Stonebriar Centre,"Stonebriar Centre, 2601 Preston Road Space 1034,, Frisco, TX 75034",Collin,5/26/2025,8/14/2025,"$290,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Improvement aRemodel for a PANDORA retail store.Includes new fixtures and finishes at the existing sales area and new fixtures and finishes at existing Back of house  including restroom,"1,000 ft 2",Stonebriar Centre LLC,"PO BOX 101042, CHICAGO, Illinois 60610",847-287-5889,Carla Cravens - Pandora Jewelry LLC,JLL Architecture LLC,"4300 E. Camelback Road Suite 100, Phoenix, Arizona 85018",480-401-3660,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010881
MUSTANG MOMO & GRILL,TABS2025010853,MUSTANG MOMO & GRILL,"1550 S CUSTER RD Unit: 700, Mckinney, TX 75072",Collin,2/10/2025,3/31/2025,"$105,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation for Restaurant, Rest Room, Front Counter, Vent Hood, Grease Interceptor","1,535 ft 2","Jang’s Choice, Inc","314 E Highland Mall Blvd, Suite 406, Austin, TX 78, Austin, Texas 78752",(972) 740-9028,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010853
Lewco: Gateway Dr (16399) Site DDX6 Permit,TABS2025010834,Amazon DDX6,"16399 Gateway Dr, Prosper, TX 75078",Collin,3/31/2025,5/30/2025,"$3,392,618",Renovation/Alteration,"This project is privately funded, on private land for private use.","NO CHANGE IN USE, EGRESS, OR OCCUPANCY. INTERIOR WORK ONLY. RELOCATE EXISTING CONVEYORS INSTALL NEW CONVEYORS INSTALL NEW COMPRESSOR SYSTEM INSTALL INTERIOR SAFETY FENCE INSTALL ELECTRICAL FOR CONVEYORS CONVEYORS = 253'-0"" LINEAR FEET","105,364 ft 2",Star Business Park LLC,"1 Cowboys Way, Frisco, Texas 75034",(817) 863-8221,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010834
K. Hovnanian Homes,TABS2025010833,International Building Park,"6111 West Plano Parkway Suite 2100 & 3000, Plano, TX 75093",Collin,3/1/2025,6/1/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in two existing single floor suites for the above named tenant. Scope includes HVAC, electrical , and plumbing. ","25,244 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",(972) 820-2236,Kim Tullos,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010833
Louis G,TABS2025010820,"Watters Creek Village, Shopping mall in Allen, Texas","907 Watters Creek Blvd, Allen, TX 75013",Collin,2/24/2025,5/1/2025,"$99,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1642SF. Cosmetically updated interior and exterior design, exterior signage, mechanical, and electrical engineering updates.","1,642 ft 2","Charter DW Watters Creek Village, LLC","970 Garden Park Dr., Allen, Texas 75013",(972) 571-5011,Nabeel Nasr,Parchini Design & Build,"6045 Milton Street, Dallas, Texas 75206",469-990-1349,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010820
Montessori School of Excellence - Lower Elementary,TABS2025010810,Montessori School of Excellence - Lower Elementary,"711 N Tennessee St, Mckinney, TX 75069",Collin,5/1/2025,1/1/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","A 5812 SF private, Montessori school for children's aged 6-18 years old.","5,812 ft 2",The Eagle Institute,"6200 Virginia Pkwy, Mckinney, Texas 75071",(630) 745-8928,,Conduit Architecture + Design,"711 N Tennessee St, Mckinney, Texas 75069",(972) 302-9747,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010810
Montessori School of Excellence - Primary,TABS2025010809,Montessori School of Excellence - Primary,"County Road 943, Mckinney, TX 75070",Collin,5/1/2025,1/1/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","A 5812 SF private, Montessori school for children's aged 3-5 years old ","5,812 ft 2",The Eagle Institute,"6200 Virginia Pkwy, McKinney, Texas 75071",(630) 745-8928,,Conduit Arcitecture+Design,"711 N Tennessee St, Mckinney, Texas 75069",(972) 302-9747,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010809
PRISON ENTREPRENEURSHIP PROGRAM,TABS2025010800,Palisades II,"2435 N CENTRAL EXPRESSWAY  SUITE 150, Richardson, TX 75080",Collin,2/10/2025,5/12/2025,"$100,584",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH-OUT OF EXISTING OFFICE SPACE,"2,647 ft 2",JP-Palisades II LLC,"2435 N Central Expressway, Suite 480, Richardson, Texas 75080",(972) 674-8103,Jason Moore,Interprise Design,"14241 Dallas Parkway Suite 260, Dallas, Texas 75254",(972) 619-2971,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010800
HARUHI HEAD SPA,TABS2025010775,SUNNYSIDE SHOPPING CENTER,"2761 VIRGINIA PKWY #STE. 500, Mckinney, TX 75071",Collin,3/1/2025,7/1/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"2,358 ft 2",SUNNYSIDE ENTERPRISES,"4588 KENTUCKY DR, PLANO, Texas 75024",(214) 257-0219,QUY LE,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010775
Shepherds Glen Park,TABS2025010743,Shepherds Glen Park,"12012 Shepherds Hill Drive, Frisco, TX 75034",Collin,1/1/2025,11/1/2025,"$4,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Approx. 3.5 acres park reinvestment consisting of the reconstruction of the main part of the existing park, new water play area, new children’s play area, remodel of existing shade structures, new shade structure and new parking area.","152,460 ft 2",City of Frisco,"6101 Frisco Square Blvd., 4th Floor, Frisco, Texas 75034",972-292-6500,,SWA Group,"2001 Irving Blvd., Suite 157, Dallas, Texas 75207",214-954-0016,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010743
