project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
AGUASAL RESTAUNANT RESTORATION,TABS2024017706,AGUASAL RESTAURANT,"214 EAST LOUISIANA STREET NA, Mckinney, TX 75069",Collin,6/17/2024,9/6/2024,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RESTORE HISTORIC BUILDING RESTAURANT,"4,100 ft 2",CLEO AND TOM MEREDITH,"214 EAST LOUISIANA, Mckinney, Texas 75069",(469) 233-7017,NICK CAIN,TAC TEXAS ARCHITECTURAL COLLABORATIVE,"P.O. BOX 806, Mckinney, Texas 75069",(214) 675-1559,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017706
EOS Fitness Collin Creek,TABS2024017691,EOS Fitness,"600 W 15TH St., Plano, TX 75075",Collin,9/2/2024,7/2/2025,"$5,341,200",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement of a 71,216 SF structure to be use as a health and fitness club, including a 19,280 SF warehouse","90,496 ft 2","Collin Creek Associates, LLC","4500 Bissonnet St, Suite 200, Bellaire, Texas 77401",(713) 693-1437,"EOS Fitness Texas, LLC","James E. Stroh, Architect, Inc","2190 E. Pebble Rd, Suite 250, Phoenix, Arizona 88501",(702) 433-1400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017691
HUNT (FARMERSVILLE),TABS2024017689,HUNT REGIONAL URGENT CARE,"1708 W. AUDIE MURPHY PKWY #300, Farmersville, TX 75442",Collin,5/20/2024,8/19/2024,"$416,135",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR MEDICAL OFFICE ,"3,180 ft 2",FARMERSVILLE CENTER LLC,"13260 JOSEY LN. # 101, FARMERS BRANCH, Texas 75234",214-418-0209,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017689
Dallas Periodontics and Dental Implants,TABS2024017685,Dallas Periodontics and Dental Implants,"7557 Rambler Rd. #918, Dallas, TX 75231",Collin,6/3/2024,9/16/2024,"$341,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel dentist office ,"2,119 ft 2",IPXI Rambler Investors,"Po box 95588, Grapevine, Texas 76099",(214) 979-6542,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017685
MedVet - Frisco,TABS2024017646,The Heights at Frisco,"7030 Stonebrook Parkway, Suite A, Frisco, TX 75034",Collin,6/10/2024,11/4/2024,"$2,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior improvements in existing shell building for new veterinary clinic.,"8,320 ft 2",SUN LLC FRISCO,"360 E. Desert Inn Rd, Unit 1902 columbus, ohio 43212, Las Vegas, Nevada 89109",(555) 555-5555,MedVet,"Ford & Associates Architects, Inc.","1500 w. 1st ave, Columbus, Ohio 43212",(614) 488-6252,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017646
AooriveShield - Phase II,TABS2024017611,3400 NCX,"3400 N. Central Expressway Suite 250, Richardson, TX 75080",Collin,5/6/2024,7/31/2024,"$435,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Buildout and renovation,"6,000 ft 2",3400 Property LLC,"401 N. Michigan Avenue Suite 700, Chicago, Illinois 60651",(312) 640-7602,,OnWorks LLC,"5048 Addison Circle, Addison, Texas 75001",(972) 824-7710,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017611
Silver Ridge Office Park,TABS2024017604,Silver Ridge Office Park,"3951 Alma Road, Mckinney, TX 75070",Collin,6/1/2024,6/1/2026,"$1,600,000",New Construction,"This project is privately funded, on private land for private use.",Four single story office condominium buildings,"19,728 ft 2","SVOC, LLC","3721 S Stonebridge Dr Suite 901, McKinney, Texas 75070",(318) 423-6111,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017604
WISD - Hartman Pre-K Center Renovations,TABS2024017599,Hartman Pre-K Center,"510 South Birmingham Street, Wylie, TX 75098",Collin,6/1/2024,7/1/2025,"$14,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Complete interior renovations to covert from ES to Pre-K. 36 classrooms with attached restroom facilities, along with revised library, music, and art spaces. Kitchen upgrade/renovation, new play area. Parking and site paving will be added.","65,524 ft 2",Wylie ISD,"200 Pirate Drive, Wylie, Texas 75098",(972) 429-2624,,"PBK Architects, Inc.","14001 North Dallas Parkway Suite 400, Dallas, Texas 75240",(972) 233-1323,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017599
McKinney Fire Station No. 8,TABS2024017591,McKinney Fire Station No. 8,"3445 Alma Road, Mckinney, TX 75070",Collin,12/1/2025,2/1/2027,"$9,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New, 3 bay, fire station","16,644 ft 2",City of McKinney,"3501 N. Central Expressway, McKinney, Texas 75071",(972) 672-1945,,Conduit Architecture + Design,"711 N. Tennessee Street, McKinney, Texas 75069",(972) 302-9747,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017591
Cornerstone Capital Bank,TABS2024017581,One Legacy Circle,"7500 Dallas Parkway Suite 375, Plano, TX 75024",Collin,5/1/2024,9/1/2024,"$215,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements,"4,757 ft 2",FSP One Legacy Circle LLC,"FSP Property Mgmt   401 Edgewater Place Suite 200, Wakefield, Massachusetts 01880",(781) 557-1342,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017581
