project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
ISN Headquarters,TABS2026005428,Knox Office Building,"3333 Knox Street, Ste 900, Dallas, TX 75205",Dallas,2/15/2026,9/24/2026,"$18,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approx. 94,000 SF, First Generation Space, Office","94,000 ft 2",KD Travis Block Holdco LLC,"2100 McKinney Ave, Suite 800, Dallas, Texas 75201",214-681-9205,Melanie Gordon,Corgan,"401 N. Houston St., Dallas, Texas 75202",214-977-3374,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005428
Paychex,TABS2026005410,8900 Freeport,"8900 Freeport Pkwy Suite 300, Irving, TX 75063",Dallas,11/30/2025,7/31/2026,"$8,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Elevation to existing business occupancy.,"98,358 ft 2",Lexington TNI Irving LP,"12400 Coit Rd Suite 1270, Dallas, Texas 75251",(214) 210-3718,,Entos Design,"5400 Lyndon B Johnson Fwy Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005410
Spencer Fane,TABS2026005387,Dallas Arts Tower,"2200 Ross Avenue Suite 1700, Dallas, TX 75201",Dallas,12/1/2025,5/1/2026,"$2,554,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"22,622 ft 2",Fortis Property Group,"2200 Ross Avenue Suite 4050, Dallas, Texas 75201",(214) 777-5300,,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005387
Highmark Residential,TABS2026005382,Spectrum Center,"5080 Spectrum Drive, Suite 1000E, Addison, TX 75001",Dallas,11/10/2025,2/5/2026,"$2,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","20,265 SF of tenant improvement.","20,265 ft 2",Spectrum Drive Owner LLC,"411 West Putnam Avenue, Greenwich, Connecticut 06830",(972) 490-6200,,Entos Design,"7242 Glendora Ave., Dallas, Texas 75230",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005382
25104 - Apex Logistics TI - Phase 2,TABS2026005373,"DFW Global Logistics Center, Building C","1250 Mustang Drive #400, Dfw Airport, TX 76051",Dallas,12/1/2025,2/2/2026,"$179,000",New Construction,"This project is privately funded, on private land for private use.",The proposed improvements to the existing shell building include the interior finish out of a new 300 sq ft warehouse office and miscellaneous warehouse items.,300 ft 2,City of Dallas/DFW Airport Division,"3500 E Airfield Drive, Irving, Texas 75038",(972) 973-1784,,RGA Architects Inc.,"301 S. Oak Street, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005373
Murphy #8940,TABS2026005372,Murphy #8940,"9009 Skillman Street, Dallas, TX 75243",Dallas,9/1/2026,12/31/2026,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","Ground up 2,705 square foot Murphy USA convenience store with gas sales and associated site improvements.","2,705 ft 2","NNN REIT, LP","450 S. Orange Avenue, Suite 900, Orlando, Florida 32801",407-265-7348,Mohsen Khani,The Dimension Group,"10755 Sandhill Road, Dallas, Texas 75238",214-600-1152,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005372
Brookhollow Building 1 Spec Office,TABS2026005371,Brookhollow Building 1,"1900 Anson Road, Dallas, TX 75235",Dallas,10/15/2025,1/15/2026,"$481,847",New Construction,"This project is privately funded, on private land for private use.","New construction of 3,544 spec office within existing cold dark shell warehouse.","3,544 ft 2",PPF/LO 1900 Anson Venture LLC,"8111 Douglas Avenue Suite 600, Dallas, Texas 75225",(214) 740-3300,,Alliance Architects,"1600 N Collins Blvd Suite 1000, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005371
Seclock Renovation,TABS2026005368,2200 Main Street,"2125 W. Bardin Rd., Grand Prairie, TX 75052",Dallas,1/12/2026,4/17/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","SECOND GENERATION SPACE. 3,800 SF OF OFFICE SPACE  WHICH INCLUDES COFERENCE ROOMS, BREAKROOM, OFFICES AND A RESTROOMS AND 44,000 SF OF WAREHOUSE SPACE","47,800 ft 2",SLD Dallas LLC,"25 Dartmouth St., Westwood, Massachusetts 02090",(617) 784-8090,Kim Nauen,"Interior Architects, Inc","728 Northwestern Ave. Bldg A, Austin, Texas 78702",(737) 218-5228,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005368
KD Studio Inc.,TABS2026005343,13465 Midway,"13465 Midway, Suite 100, Farmers Branch, TX 75244",Dallas,11/1/2025,2/1/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation,"22,134 ft 2","TUP Midway Centre, LP","130 East John W Carpenter Fwy, Suite 430, Irving, Texas 75062",(972) 842-9710,Antonia Denardo,"Optimal Space Designs, LLC","7505 Benelux Ct., Plano, Texas 75025",972-697-1536,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005343
SMU Fondren Lab Renovation,TABS2026005337,SMU Fondren,"3215 Daniel Ave, Dallas, TX 75205",Dallas,1/1/2026,3/3/2026,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New finishes, lighting and mechanical.",484 ft 2,SOTHERN METHODIST UNIVERSTIY,"6425 Boaz Lane, Dallas, Texas 75205",(214) 768-9207,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005337
