project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Fidelity Capital Group Office Finishout,TABS2025013681,Travis Walk,"4514 Travis Street, Suite 301, Dallas, TX 75205",Dallas,3/15/2025,5/15/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing office space for a new tenant.,"2,107 ft 2",Intercity Investments,"4301 Westside Drive Suite 100, Dallas, Texas 75209",(214) 520-2565,Jay Johnson,SHM Architects,"5646 Milton Street, Suite 900, Dallas, Texas 75206",(214) 252-3830,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013681
CityCentral Title,TABS2025013672,CityCentral Bent Tree,"17250 Dallas Parkway, Dallas, TX 75248",Dallas,4/15/2025,10/15/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation. No restrooms or sitework are included.,"1,367 ft 2","NewGate Development, LC","6010 W Spring Creek Parkway, Plano, Texas 75204",(469) 576-3276,,Daniels & Lovelady Architecture,"669 Airport Freeway Suite 101, Hurst, Texas 76053",(817) 510-6730,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013672
Dallas Fort Worth - Cafeteria Interior Remodel,TABS2025013668,FlightSafety International,"3201 E Airfield Drive, Irving, TX 75261",Dallas,4/15/2025,4/30/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of a portion of the existing FlightSafety International Building (approximately 3,184 SF). Scope of work to include renovation of the existing cafeteria and corridor.","3,184 ft 2",FlightSafety International,"3100 Easton Square Place, Suite 100, Columbus, Ohio 43219",(614) 561-1386,,Oculus Inc.,"1 S. Memorial Drive, Suite 1500, St. Louis, Missouri 63102",(314) 450-5366,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013668
Haynie & Co.,TABS2025013661,Merit Tower,"12222 Merit Dr, suite#1900, Dallas, TX 75251",Dallas,6/2/2025,8/13/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",refresh of interior finish out and layout for tenant office space.,"10,156 ft 2","LLL Four Forest, LP","12222 Merit Drive Suite 280, Dallas, Texas 75251",(972) 770-4400,,BHA Studio,"3141 HOOD STREET suite 420, Dallas, Texas 75219",(214) 521-8500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013661
Walmart Egress Doors 3432,TABS2025013653,Walmart,"951 W Belt Line Rd, Desoto, TX 75115",Dallas,6/1/2025,6/15/2025,"$115,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Install new interior door in breakroom, relocate furniture/equip in breakroom, install new fixture/security door, install new exterior door in return storage, install new exterior door in fedex, revise hardware at VC interior door, install acc button","1,890 ft 2",Walmart Inc,"2608 SE J St, Bentonville, Arkansas 72716",(479) 371-8700,,Galloway & Company,"5500 Greenwood Plaza Blvd STE 200, Greenwood Village, Colorado 80111",(316) 368-5444,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013653
Price Development Group,TABS2025013652,The Berkshire at Preston Center,"5950 Berkshire Lane Suite 1100, Dallas, TX 75225",Dallas,4/1/2025,9/12/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"9,507 ft 2",FHF I Berkshire Tower LLC,"28 State Street, 10th Floor, Boston, Massachusetts 02109",(972) 626-4943,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013652
11th Floor Spec Suites,TABS2025013630,Energy Square 2,"4849 Greenville Ave., Suites 1100 & 1111, Dallas, TX 75206",Dallas,3/10/2025,7/1/2025,"$479,492",Renovation/Alteration,"This project is privately funded, on private land for private use.","4,164 SF of two speculative suite improvements.","4,164 ft 2","US Energy Square, LLC","6688 N Central Expressway, Suite 350, Dallas, Texas 75206",(312) 795-1800,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013630
Priceline,TABS2025013610,Cypress Waters,"3201 Olympus Blvd Suite 250, Dallas, TX 75019",Dallas,3/7/2025,9/7/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in an existing single floor suite for the above named tenant. Scope includes hvac, electrical, and plumbing.","16,455 ft 2",Jones Lang Laselle Inc.,"2401 Cedar Springs Rd Suite 100, Dallas, Texas 75201",(972) 775-8278,,idgroup,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013610
LPC,TABS2025013601,LPC,"4130 Lindbergh Dr, Addison, TX 75035",Dallas,4/1/2025,8/15/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demolition Utility room, storage add new restroom Breakroom addition Removal 4 existing walls in office area. ","2,573 ft 2","Wildwood Real Estate Co HPLP Acquisition I, LLC and Ceonis Industrial 1 LLC","4130 Lindbergeh Dr,, Addision, Texas 75001",(972) 241-8300,LPC,ESCALA GROUP,"7640 Warren Pkwy Suite 100, FRISCO, Texas 75035",(214) 971-1278,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013601
Comerica Bank,TABS2025013594,Midway Spring Valley,"4102 Spring Valley Rd, Farmers Branch, TX 75244",Dallas,4/7/2025,6/6/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demolition and Construction of interior walls, ceilings and finishes. New entry vestibule and concrete work.","1,479 ft 2",Comerica Bank,"10601 Forest Ln Suite 200, Dallas, Texas 75243",(972) 234-7420,,BHA Studio,"3141 Hood St Suite 420, Dallas, Texas 75219",(214) 521-8500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013594
Little Katana,TABS2025013592,K-Sector,"2660 Old Denton Rd Suite 200, Carrollton, TX 75007",Dallas,4/1/2025,10/1/2025,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1. INTERIOR FINISH OUT FOR 3,650 SF RESTAURANT IN EXISTING SHELL SPACE 2. INSTALLATION OF KITCHEN EQUIPMENT AND RELATED MECHANICAL, ELECTRICAL AND PLUMBING FIXTURE.","3,650 ft 2",K-Sector,"2035 ROYAL LN, STE 285, Dallas, Texas 75229",(972) 241-8131,,CPY Architecture,"10830 N. Central Expy Ste.450, Dallas, Texas 75231",(214) 953-0042,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013592
Building 4 Spec Office,TABS2025013583,Lakeview Building District,"8220 Merritt Road, Suite 101, Rowlett, TX 75089",Dallas,4/15/2025,7/15/2025,"$540,770",New Construction,"This project is privately funded, on private land for private use.","Tenant improvement of existing shell building.  3,144 sf office.","3,144 ft 2",JSC - CCI Lakeview 1,"4890 Alpha Road, Suite 100, Dallas, Texas 75224",(214) 604-8121,,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013583
Building 2 Spec Suite Office,TABS2025013579,Lakeview Building District,"8131 Merritt Road, Suite 101, Rowlett, TX 75089",Dallas,4/15/2025,7/15/2025,"$562,777",New Construction,"This project is privately funded, on private land for private use.","Tenant improvement of Existing shell building.  3,169 sf.","3,169 ft 2",JSC - CCI Lakeview 1,"4890 Alpha Road, Suite 100, Dallas, Texas 75224",(214) 604-8121,,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013579
Building 1 Spec Suite,TABS2025013576,Lakeview Building District,"8101 Merritt Road, Suite 101, Rowlett, TX 75089",Dallas,4/15/2025,7/15/2025,"$547,553",New Construction,"This project is privately funded, on private land for private use.","Tenant improvement of existing shell building. 3,165sf.","3,165 ft 2",JSC - CCI Lakeview 1,"4890 Alpha Road, Suite 100, Dallas, Texas 75224",(214) 604-8121,,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013576
Digital Garland Campus,TABS2025013563,DFW40,"1512 Ferris Road, Garland, TX 75044",Dallas,5/1/2025,8/1/2025,"$75,000,000",New Construction,"This project is privately funded, on private land for private use.","Data Center Building consisting of six (6) 8MW DR800 Suites for an ultimate capacity of 48MW. Also included is DLR and tenant office space, loading/unloading area and bldg storage areas.","280,000 ft 2",Digital Realty,"907 Security Row, Richardson, Texas 75802",(214) 377-4597,,HED,"15301 Spectrum Drive, Suite 450, Addison, Texas 75001",(617) 430-7229,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013563
Kids Foot Locker,TABS2025013558,Dallas Galleria,"13350 Dallas Parkway Space 2820, Dallas, TX 75240",Dallas,10/10/2025,10/29/2025,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Ft: 4,529 (include sq square Minor footage) Remodel of Sales & fitting rm: Modification of fitting room size, finishes and lighting. New sales area fixtures, ft. lighting, & finishes, including flooring. New storefront signage. Toilet light replance","4,529 ft 2","GMV (Mall) Owner, LLC","13350 Dallas Parkway #3080, Dallas, Texas 75240",972-702-7171,Christy Allen,"MB Architecture and Design, LLC","310 Passaic Avenue, Building B, Suite 202, Fairfield, New Jersey 07004",(973) 837-6055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013558
Village Balery,TABS2025013555,Village Bakery,"8411 Preston Rd, Dallas, TX 75225",Dallas,4/4/2025,7/4/2025,"$190,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",THIS IS A INTERIOR REMODEL OF AN EXISTING SPACE INTO A VILLAGE BAKERY. EXISTING WALLS ARE TO REMAIN. THE BATHROOM IS TO BE  BROUGHT UP TO CODE. A NEW SERVING AREA AND BACK OF HOUSE IS TO BE INSTALLED WITH NEW EQUIPMENT. ,"1,018 ft 2",Village Baking Co,"4924 Woodall St, Dallas, Texas 75247",(214) 245-4561,,RTM Design LLC,"PO Box 13734, Arlington, Texas 76094",(817) 265-2415,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013555
