project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
DELIGHTFUL SWEET SHOP,TABS2026023388,DELIGHTFUL SWEET SHOP,"3522 MAIN ST. #STE. 100, Rowlett, TX 75088",Dallas,9/1/2026,6/1/2027,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,715 ft 2,SKY 110 AT ROWLETT SPE LLC,"2220 COIT RD #STE. 480, PLANO, Texas 75075",(214) 310-9296,BROOKE RODRIGUEZ,BEAR DESIGN BUILD,"4100 SPRING VALLEY RD #STE. 430, DALLAS, Texas 75244",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023388
8150 Springwood Suite Demise 170,TABS2026023384,Springwood II,"8150 Springwood, Irving, TX 75063",Dallas,6/29/2026,10/30/2026,"$85,860",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation expanding warehouse space, adding restrooms and break area","4,278 ft 2",Springwood EPA LLC,"16160 Midway Rd Suite 200, Addison, Texas 75001",972-215-8589,,idGROUP,"2641 IRVING BLVD, DALLAS, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023384
8150 Springwood Suite Demise 150,TABS2026023383,Springwood II,"8150 Springwood, Irving, TX 75063",Dallas,6/29/2026,10/30/2026,"$74,660",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Interior renovation, adding warehouse space, restrooms and breakroom","3,733 ft 2",Springwood EPA LLC,"16160 Midway Rd Suite 200, Addison, Texas 75001",972-215-8589,,idGROUP,"2641 IRVING BLVD, DALLAS, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023383
Enterprise Rent-A-Car,TABS2026023382,Enterprise,"940 E. Beckley Street, Lancaster, TX 75126",Dallas,7/17/2026,10/30/2026,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of existing facility,"17,420 ft 2",Bwingram Investments LTD,"908 S. Buckner, Dallas, Texas 75217",(214) 431-9562,Ryan Kelly,Prizm Architects,"580 Decker Drive, Suite 170, Irving, Texas 75062",(469) 895-7173,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023382
BEAR CREEK LOGISTICS PARK BUILDING B,TABS2026023381,BEAR CREEK LOGISTICS PARK BUILDING B,"400 SHADY GROVE RD, Grand Prairie, TX 75050",Dallas,7/26/2026,2/12/2028,"$42,828,930",New Construction,"This project is privately funded, on private land for private use.",Construction of a new concrete tilt wall warehous,"390,280 ft 2",LPC Grand Prairie I,"191 North Wacker Suite 1700, Chicago, Illinois 60606",(708) 667-6913,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023381
8150 Springwood Suite Demise 130,TABS2026023380,Springwood II,"8150 Springwood, Irving, TX 75207",Dallas,6/29/2026,10/30/2026,"$145,860",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation, taking a larger suite and demising into a smaller suite. Extending warehouse space, adding restrooms and breakroom. ","7,293 ft 2",Springwood EPA LLC,"16160 Midway Rd Suite 200, DALLAS, Texas 75001",972-215-8589,,idGROUP,"2641 IRVING BLVD, DALLAS, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023380
BEAR CREEK LOGISTICS PARK BUILDING A,TABS2026023378,BEAR CREEK LOGISTICS PARK BUILDING A,"400 SHADY GROVE RD, Grand Prairie, TX 75050",Dallas,7/26/2026,2/12/2028,"$16,950,427",New Construction,"This project is privately funded, on private land for private use.",Construction of a new concrete tilt wall warehouse,"144,098 ft 2",LPC Grand Prairie I,"191 North Wacker Suite 1700, Chicago, Illinois 60606",(708) 667-6913,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023378
Spec Suite 480,TABS2026023371,The Gild South,"8150 North Central Expressway Suite 480, Dallas, TX 75206",Dallas,7/6/2026,9/30/2026,"$193,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"2,577 ft 2",FCAW CC PROPCO LLC,"3958 Maple Avenue Suite 350, Dallas, Texas 75219",(858) 436-3600,,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023371
Spec Suite 450 & Public Corridor,TABS2026023357,The Gild South,"8150 North Central Expressway Suite 450, Dallas, TX 75206",Dallas,7/6/2026,9/30/2026,"$193,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"1,721 ft 2",FCAW CC PROPCO LLC,"3958 Maple Avenue Suite 350, Dallas, Texas 75219",(858) 436-3600,,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023357
Spec Suite 425,TABS2026023354,The Gild South,"8150 North Central Expressway Suite 425, Dallas, TX 75206",Dallas,7/6/2026,9/30/2026,"$193,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"2,264 ft 2",FCAW CC PROPCO LLC,"3958 Maple Avenue Suite 350, Dallas, Texas 75219",(858) 436-3600,,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023354
