project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Lennar,TABS2024024638,Greenway Tower,"1231 Greenway Drive Suite 600, Irving, TX 75036",Dallas,9/30/2024,10/31/2024,"$3,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel for new office tennant,"18,184 ft 2",TAURUS CD 203 GREENWAY TOWER TX LP,"601 NW LOOP 410 STE 105, San Antonio, Texas 78216",(407) 214-3013,Jadron Hamilton,Interior Architects,"728 Northwestern Ave Building A, Austin, Texas 78702",(737) 218-5220,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024638
Walmart #00896.1004,TABS2024024637,Walmart,"2225 W Interstate 20, Grand Prairie, TX 75052",Dallas,3/30/2025,4/25/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INSTALL INTERIOR & EXTERIOR DOOR(S), RE-WORK EXISTING EXTERIOR PAVEMENT IN ACCOMMODATION OF NEW EXTERIOR DOOR(S), UPDATE DOOR HARDWARE. 100SqFt",100 ft 2,Walmart,"PO Box 8050, MS0555, Bentonville, Arkansas 72712",(479) 426-5712,,CESO Inc.,"3601 Rigby Road #300, Miamisburg, Ohio 45342",(937) 435-8584,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024637
Pearl Lofts Food Bank Finish-out,TABS2024024600,North Texas Food Bank,"2100 Farmers Road, Dallas, TX 75201",Dallas,8/15/2024,3/3/2025,"$465,000",New Construction,"This project is privately funded, on private land for private use.",Retail finish-out at Grade,"5,550 ft 2",Spectrum Properties,"2518 Converse St, Dallas, Texas 75207",(817) 239-2125,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024600
Lockwood Distilling Co. - Storage & Bottling Facility,TABS2024024598,Lockwood Distilling Co.,"816 Sherman St., Richardson, TX 75081",Dallas,8/26/2024,3/30/2025,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing site and building for bottling.,"19,600 ft 2",HLN Enterprises Inc.,"11511 Rosser Rd, Dallas, Texas 75229",(469) 867-5482,,S-Cubed Architects,"124 Donald Dr. Hurst, TX 76053, Hurst, Texas 76053",(817) 673-8985,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024598
Topgolf Grand Prairie TX,TABS2024024597,Topgolf Grand Prairie TX,"SEC of IKEA Place and SH 161 Service Road, Grand Prairie, TX 75052",Dallas,11/1/2024,11/1/2025,"$20,000,000",New Construction,"This project is privately funded, on private land for private use.","New Construction of a 50,000 SF Topgolf Facility, Building will be two stories and will have 8- hitting bays.","50,000 ft 2","KEA Property, Inc.","420 Alan Wood Road, Conshohocken, Pennsylvania 19428",925-389-0025,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024597
PC9 Pickleball Court,TABS2024024595,"Towers at Park Central, Tower 9","12790 Merit Drive 101, Dallas, TX 75251",Dallas,8/12/2024,12/2/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement to renovate existing tenant lease space into building amenity pickleball court.,"4,889 ft 2","MCM Park Central Dallas II, LLC","301 Yamato Rd. 4160, Boca Raton, Florida 33431",(301) 955-6485,,Entos Design,"5400 Lyndon B Johnson Fwy. 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024595
"Callie Emery, MD, PA & Cristin Dooley, PHD, LSSP",TABS2024024590,Hillcrest Tower,"12720 Hillcrest Rd. Suite 905, Dallas, TX 75230",Dallas,8/2/2024,2/2/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in an existing single floor suite. Scope includes hvac, electrical, and plumbing. ","2,335 ft 2",TXRE Properties,"12400 Coit Rd. Sutie 1150, Dallas, Texas 75234",(214) 772-4359,,idGroup,"2641 Irving Blvd., Dallas, Texas 75207",214.638.6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024590
DISD ORG 055 - THOMAS J. RUSK MIDDLE SCHOOL - RENOVATION,TABS2024024580,THOMAS J. RUSK MIDDLE SCHOOL,"2929 Inwood Road 2929 Inwood Road, Dallas, TX 75235",Dallas,12/1/2024,8/15/2025,"$9,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Interior Renovations in Administration Suite; Infrastructure improvements; Window replacement,560 ft 2,Dallas Independent School District,"9400 N Central Expy, Dallas, Texas 75321",(940) 445-7223,,PGAL,"14135 Midway Road, Suite G-200, Addison, Texas 75001",(469) 274-2685,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024580
Vulcan Materials Company,TABS2024024553,Las Colinas Corporate Center II,"6363 North State Hwy 161, Irving, TX 75038",Dallas,8/5/2024,12/31/2024,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"17,505 ft 2",Piedmont Office Realty Trust,"13355 Noel Road, Suite 320, Dallas, Texas 75240",(214) 939-7137,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024553
Welbilt Experience Center,TABS2024024531,1010 W Sandy Lake,"1010 W. Sandy Lake Rd., Coppell, TX 75019",Dallas,8/5/2024,6/1/2025,"$29,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1st generation renovation of existing building for foodservice equipment showroom, business office, and warehouse storage.","130,035 ft 2","Welbilt FSG U.S. Holding, LLC, a Delaware limited liability company","2227 Welbilt Blvd., New Port Richey, Florida 34655",(214) 695-3616,,Entos Design,"5400 Lyndon B Johnson Fwy. 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024531
Carrollton-Farmers Branch ISD - Pkg 6,TABS2024024522,Riverchase Elementary School,"272 MacArthur Blvd., Coppell, TX 75019",Dallas,12/20/2024,11/1/2025,"$600,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Conversion of existing classrooms to SPED Classrooms, Replace Exhaust fans and ventilators",100 ft 2,Carrollton-Farmers Branch ISD,"1505 Randolph Street, Carrollton, Texas 75006",(972) 968-6302,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024522
North Dallas Smiles,TABS2024024511,North Dallas Smiles,"17194 Preston Rd. #224, Dallas, TX 75248",Dallas,7/30/2024,10/10/2024,"$95,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodeling the dental space to update and refresh the entire area. Adding new electrical components in specific areas and incorporating modern cabinets, light fixtures, televisions, and accent walls. the total sqft of the build is  2574 sqft ","2,574 ft 2",Erep Preston Trail II,"PO Box 679269, Dallas, Texas 75267",(512) 772-4079,Dr. Ezinwanne Ejesieme,HD3 Custom Homes LLC,"400 N Ervay St Box 131248, Dallas, Texas 75313",214-551-0830,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024511
WellMed HCAT LVL 3,TABS2024024508,WellMed,"6161 N State Hwy 161, Level 3, Dallas, TX 75038",Dallas,8/15/2024,12/30/2024,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovations to level 3 to convert the existing multi-tenant suites to a single tenant medical clinic. 10,000 sq.ft.","10,000 ft 2","KAGR IRVING 161,LLC","800 WEST MADISON STREET, SUITE 400, CHICAGO, Illinois 60004",(312) 872-4133,WellMed Medical Management,"The Dawley Group, LLC","280 E Oakview Place, San Antonio, Texas 78209",(210) 241-9392,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024508
Rico's Paleteria,TABS2024024491,Rico's Paleteria,"2598 Gus Thomasson Rd, Ste #100, Dallas, TX 75228",Dallas,8/1/2024,9/1/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel for Ice Cream Shop,"2,000 ft 2",Christina Mandujano,"301 S. Sherman Street, Richardson, Texas 75081",(972) 669-8440,,Construction Solutions,"5000 Wheeler cir, The Colony, Texas 75056",(469) 464-6737,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024491
Marquez Brothers,TABS2024024490,Marquez Brothers Distribution,"1405 N Interstate 35, Carrollton, TX 75006",Dallas,9/3/2024,9/10/2024,"$138,894",Renovation/Alteration,"This project is privately funded, on private land for private use.",pushback rack installation,"1,800 ft 2",Marquez Brothers Distribution,"1405 N Interstate 35, Carrollton, Texas 75006",(972) 880-9630,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024490
Costco Dallas Depot - Cold Depot Addition,TABS2024024467,Costco Wholesale - Dallas Depot - CW19-0600,"3730 Mountain Creek Parkway, Dallas, TX 75236",Dallas,11/18/2024,5/18/2025,"$14,231,437",Additions to Existing Building,"This project is privately funded, on private land for private use.","The Dallas Depot Cold Addition is a 48,150 SQFT metal building addition with (16) dock doors for receiving and distribution for a total of (32) new dock door positions. This work includes the regarding of existing concrete pavement around the new bui","48,150 ft 2",Costco Wholesale Corporation,"730 Lake Drive, Issaquah, Washington 98027",(425) 313-8421,,MG2 Architecture Corporation,"1101 Second Ave, Ste 100, Seattle, Washington 98101",(206) 962-6652,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024467
Costco Dallas Depot - Trailer Parking,TABS2024024465,Costco Wholesale - Dallas Depot - CW19-0600,"3730 Mountain Creek Parkway, Dallas, TX 75236",Dallas,8/18/2024,12/2/2024,"$9,411,731",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE PROJECT IS A RETAINING (25 FT HT) WALL AND 79 TRUCK STALL PARKING (APPROX. 13,495 SQYD) IN ADDITION TO AN EXISTING PARKING LOT OF 622 STALLS. OFF-SITE WORK CONSISTS OF CONCRETE SIDEWALK (APPROX. 2,456 LF) AND MINOR LANDSCAPING WITHIN THE PROPERTY","2,456 ft 2",Costco Wholesale Corporation,"730 Lake Drive, Issaquah, Washington 98027",(425) 313-8421,,MG2 Architecture Corporation,"1101 Second Ave, Ste 100, Seattle, Washington 98101",(206) 962-6652,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024465
Oral Health,TABS2024024460,Barnett Tower,"3600 Gaston Ave. Suite 508 Barrnett, Dallas, TX 75246",Dallas,8/19/2024,11/18/2024,"$258,625",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 2,069 useable sq. ft. tenant finish out in Barnett Tower within Dallas, Texas ","2,069 ft 2",Healthcare Realty Services LLC,"3900 Junius Street Suite 640, Dallas, Texas 75246",(469) 617-0657,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024460
Core 45 - Owens Corning Tenant Improvement,TABS2024024458,Core 45,"1401 Pleasant Run Road, Wilmer, TX 75172",Dallas,8/12/2024,11/10/2024,"$1,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant build out of one remote restroom, trucker cage, site fencing, exhaust fans, demising wall and other minor work. Build Out: 4160 sf, Warehouse: 287,156 sf, Total SF: 291,316","4,160 ft 2","GVP TC Wilmer Property Owner, LP","1 E. Putnam Ave., Ste. 300, Greenwich, Connecticut 06830",(216) 386-2013,Josh Heiple,"CESO, Inc.","175 Montrose West Ave. Ste. 400, Akron, Ohio 44321",330-807-4766,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024458
