project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
"Ulta #2081 Fort Worth, TX",TABS2026007321,Montgomery Plaza,"2600 West 7th Street, Suite 107, Fort Worth, TX 76107",Tarrant,2/9/2026,6/9/2026,"$812,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing 8,548 SF retail tenant space within an existing commercial bldg. Scope to include interior demolition, interior framing, interior finish carpentry, interior finish material installation, mechanical, electrical & plumbing.","8,548 ft 2",RioKim Montgomery,"500 North Broadway, Suite 201, Jericho, New York 11753",972-638-5241,Gary Kay,Robert G. Lyon & Associates,"5100 River Road, Suite 125, Schiller Park, Illinois 60176",847-671-7452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007321
LESSO PVC FACTORY INTERIOR FINISH OUT,TABS2026007307,-,"7901 SOUTH FRWY, Fort Worth, TX 76063",Tarrant,2/15/2026,8/15/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",CANTEX 7901 S FRWY LLC,"107 PITTSBURG ST., DALLAS, Texas 75207",(707) 290-8629,,AMOI GROUP,"4521 BELTFORT PL, DALLAS, Texas 75205",(972) 908-9558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007307
Building 2 Shell,TABS2026007271,Cornerstone Crossing,"416 S Nolen Drive, Southlake, TX 76092",Tarrant,1/15/2026,11/15/2026,"$1,250,000",New Construction,"This project is privately funded, on private land for private use.",Build Shell Building 5970sf,"5,970 ft 2",Third Element Capital LLC,"8739 Davis Blvd, Keller, Texas 76428",(817) 793-6936,,Blake Architects,"1202 S White Chapel Blvd Ste A, Southlake, Texas 76092",817-488-9397,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007271
Minute Suites DFW Terminal D - Space D-2-NC102,TABS2026007269,DFW Airport Terminal D,"2333 S. International Parkway, Dfw Airport, TX 75261",Tarrant,12/16/2025,4/15/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation & Tenant Fit Out of an existing Minute Suites location.,"1,757 ft 2",Dallas-Fort Worth International Airport,"2400 Aviation Dr, DFW Airport, Texas 75261",(972) 973-5696,"Mike Wish - Minute Suites, VP of Construction","SONDER architecture + design, LLC","848 w north ave suite 105, Pittsburgh, Pennsylvania 15233",412-329-6228,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007269
Bonton Farms,TABS2026007252,"DFW International Airport, Terminal A","2040 N International Pkwy, Dfw Airport, TX 75261",Tarrant,2/7/2026,9/4/2026,"$1,046,900",New Construction,"This project is privately funded, on private land for private use.",Interior build-out of newly constructed concession space (553 SF) at DFW Terminal A on the concourse level to a mercantile concession space.,553 ft 2,City of Fort Worth,"1000 Throckmorton Street, Fort Worth, Texas 76102",(972) 973-5696,Brian Manternach,O'Kelly Kasprak,"940 W. Adams Street Chicago, Chicago, Illinois 60607",(312) 962-5977,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007252
Avilla Altamesa,TABS2026007241,Clubhouse/Leasing Center,"Altamesa Blvd & Village Parkway, Fort Worth, TX 76134",Tarrant,3/1/2026,5/1/2027,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Clubhouse/Leasing facility for a new apartment community ,"1,200 ft 2",NexMetro Communities,"14951 N. Dallas Parkway Suite 410, Dallas, Texas 75254",(434) 851-7374,,"Vision + Architecture Studio, LLC","10000 North Central Expressway Suite 1045, Dallas, Texas 75231",(469) 677-0079,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007241
Dirdie Birdie,TABS2026007238,Dirdie Birdie,"2821 Morton St. 1109, Fort Worth, TX 76107",Tarrant,1/12/2026,6/8/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing restaurant & bar. Kitchen & Bar to remain in same location, but with reworked equipment.  New Indoor Putt-Putt Golf Course.  Paint exterior metal siding, columns & railings.  ","9,200 ft 2","BB FW, LLC","5830 E. Caballos Lane, Paradise Valley, Arizona 85254",(480) 650-3329,Lina Khasat,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007238
"iKids Pediatric Care, LLC",TABS2026007232,"iKids Pediatric Care, LLC Care 4 Kids Pediatrics","7900 Hemphill Street, Fort Worth, TX 76134",Tarrant,12/20/2025,6/1/2026,"$1,861,486",New Construction,"This project is privately funded, on private land for private use.",total square footage of new building is 7800 pediatric care doctors office ,"7,800 ft 2",7900 Hemphill St. LLC,"6733 DENIM DRIVE, CROWLEY, Texas 76179",(817) 676-2348,,RVA CONSULTING SERVICES,"3520 Clinton Ave, Fort Worth, Texas 76106",817 721-1150,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007232
CLAWZANIA,TABS2026007217,CLAWZANIA,"13351 S. FREEWAY #115, Burlington, TX 76028",Tarrant,12/29/2025,6/30/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR CLAW MACHINE ARCADE,"2,400 ft 2",NHY REAL ESTATE GROUP LLC,"3704 PATTY LN, ARLINGTON, Texas 76016",(817) 202-4888,PONNA LY,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007217
All Saints Episcopal School - STEAM Enabling Phase 1,TABS2026007213,All Saints Episcopal School,"9700 Saints Cir, Fort Worth, TX 76102",Tarrant,5/1/2026,8/1/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.","relocation of existing classroom portables, ramps and sidewalk, parking lot reconfiguration, utility relocation and loading/dumpster enclosure. 89,530 sf","89,530 ft 2",All Saints Episcopal School,"9700 Saints Cir, Fort Worth, Texas 76108",(817) 560-5700,,Bennett Partners,"640 Taylor Street Suite 2323, Fort Worth, Texas 76102",817-333-2872,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007213
