project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Iron Mountain - Interior Renovation,TABS2024024640,Iron Mountain,"7430 Whitehall ST, Fort Worth, TX 76123",Tarrant,9/1/2024,12/30/2024,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Combine existing storage areas into one storage area,"19,410 ft 2",Finisterra Corporation,"3197-A Airport Loop Drive,, Costa Mesa, California 92626",(714) 434-1177,Sam House,Gary P Lira,"415 w golf rd ste 24, arlington heights, Illinois 60005",(847) 630-3008,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024640
Iglesia Jesucristo Es Dios,TABS2024024603,Iglesia Jesucristo Es Dios,"2002 Pine St, Grand Prairie, TX 75050",Tarrant,9/2/2024,1/6/2025,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Construction of new Sanctuary/Church.,"4,500 ft 2",Iglesia Jesucristo Es Dios,"2002 Pine St, Grand Prairie, Texas 75050",214-298-8628,,Zephyr Development,"5524 Jessamine St, Houston, Texas 77081",832-258-3674,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024603
Kito Main Office,TABS2024024602,Kito Main Office,"2101 EXCHANGE DRIVE, Arlington, TX 76011",Tarrant,9/1/2024,1/25/2025,"$187,987",Renovation/Alteration,"This project is privately funded, on private land for private use.",EXPEND EXISTING OFFICE FOOTPRINT AND OFFICE REFRESH,"1,500 ft 2","ICON OWNER POOL 6 EL PASO, LLC","13727 NOEL ROAD STE 750,, DALLAS, Texas 75240",972-823-2805,CRAIG OLSON,GTS PLANNERS,"2917 SHANNON LANE, GRAND PRAIRIE, Texas 75052",214-794-0554,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024602
INDOCHINO,TABS2024024585,WestBend,"1701 River Run, Suite 126, Fort Worth, TX 76107",Tarrant,8/6/2024,8/16/2024,"$98,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Removal of existing fixtures, demo of existing fitting room and construction of pony walls.","2,455 ft 2",Trademark Property Company,"1701 River Run, Suite 500, Fort Worth, Texas 76107",817.509.4162,Dean Handspiker,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024585
BARRON MR,TABS2024024576,BARRON,"1221 BARRON WAY, Fort Worth, TX 76140",Tarrant,8/10/2024,9/21/2024,"$170,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","PAINT BUILDING WALLS, REMODEL OFFICE AREA, INSTALL NEW FLOORING, NEW CONCRETE.","8,000 ft 2",WPI,"1915 E 70TH ST, SHREVEPORT, Louisiana 71105",318 464 2594,,GTS PLANNERS LLC,"2917 SHANNON LANE, Grand Prairie, Texas 75052",214 794 0554,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024576
EXPANSION FOR LUTHER KING CAPITAL MANAGEMENT,TABS2024024565,BANK OF AMERICA TOWER,"301 COMMERCE STREET, Fort Worth, TX 76102",Tarrant,9/2/2024,12/31/2024,"$2,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL OF EXISTING LEASE SPACE,"17,975 ft 2",CITY CENTER MANAGEMENT CO LP; SRB CITY INVST. LP;  DDR/DTC CITY INVST.; CITY INVST LP,"201 MAIN STREET SUITE 3000, FORT WORTH, Texas 76102",(817) 255-5700,,HALBACH DIETZ ARCHITECTS,"6913 CAMP BOWIE BLVD. SUITE 149, FORT WORTH, Texas 76116",(817) 737-0725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024565
Chase Bank Bonds Ranch,TABS2024024563,JP Morgan Chase Bank,"229 E Bonds Ranch Rd, Fort Worth, TX 76179",Tarrant,10/14/2024,5/20/2025,"$2,276,675",New Construction,"This project is privately funded, on private land for private use.",New construction of a new retail banking center and drive-thru ATM,"3,348 ft 2","NEC 287/Bonds Ranch, LTD c/o Weitzman","3102 Maple Ave #500, Dallas, Texas 75201",(214) 720-6600,,Rouch Architects,"1445 Ross Ave. #5700, Dallas, Texas 75202",(214) 997-6029,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024563
Jones Tower Milk Bank Renovation,TABS2024024528,Texas Health Harris Methodist Hospital,"1301 Pennsylvania Ave, Fort Worth, TX 76104",Tarrant,8/1/2024,12/15/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Convert two existing rooms into a milk bank for NICU 773sf,773 ft 2,Texas Health Resources,"1301 Pennsylvania Ave, Fort Worth, Texas 76104",(817) 821-5019,,"HKS, Inc","1227 W. Magnolia Ave Suite 200, Fort Worth, Texas 76104",(817) 231-7160,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024528
Flowco Expansion TI,TABS2024024475,Carter Distribution Center,"6633 Oak Grove Road, Fort Worth, TX 76140",Tarrant,8/15/2024,10/1/2024,"$1,696,804",Renovation/Alteration,"This project is privately funded, on private land for private use.","New openings in the existing demising wall for expanded tenant space, as well as minor alterations and new finishes in existing office space. ","135,141 ft 2","CICF II-TX1M01-M02, LLC","One Beacon Street, Suite 2800, Boston, Massachusetts 02108",(469) 912-7464,,RGA Architects,"301 S. Oak Street, Ste #100, Roanoke, Texas 76262",(972) 955-3218,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024475
GHC Fort Worth Office Renovation,TABS2024024451,200 Bailey Avenue,"200 Bailey Avenue Suite 200, Fort Worth, TX 76107",Tarrant,8/5/2024,11/29/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demolition, new construction, lighting, finishes","10,939 ft 2","Red Oak Realty, LLC","500 West 7th Street Suite 400, Fort Worth, Texas 76102",(817) 336-9900,Tami Bopp,Grace Hebert Curtis Architects LLC (HHS),"200 Bailey Avenue Suite 200, Fort Worth, Texas 76107",(817) 921-5928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024451
TB's Laundromat,TABS2024024434,Beach Street Market,"7420 N Beach Street, Suite 100, Fort Worth, TX 76137",Tarrant,10/1/2024,3/7/2025,"$210,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior build-out for a laundromat,"3,800 ft 2",Michael Kolek,"7420 N Beach St, Suite 100, Fort Worth, Texas 76137",(713) 455-2100,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024434
New Azle Junior High School,TABS2024024415,New Azle Junior High School,"201 School Street, Azle, TX 76020",Tarrant,9/1/2024,7/31/2026,"$90,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement school on existing campus and site work, demolish existing school.","180,383 ft 2",Azle ISD,"300 Roe Street, Azle, Texas 76020",817-444-3235,,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76104",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024415
Bridge Logistics Grand Prairie,TABS2024024401,Bridge Logistics,"2650 S. Great Southwest Pkwy, Grand Prairie, TX 75052",Tarrant,11/1/2023,12/15/2024,"$25,000,000",New Construction,"This project is privately funded, on private land for private use.","2 ground up shell warehouse buildings, with a TI space in each. Tilt wall construction with structural steel roof support, TPO roofing, and full wet sprinkler systems throughout each building. Bldg A 150,806 Bldg B 134,059 Total - 284865 SF","284,865 ft 2",Bridge Logistics Properties,"2000 McKinney Ave, Suite 2075, Dallas, Texas 75201",972-903-1264,,Ware Malcomb,"3090 Nowitzki Way, Suite 300, Dallas, Texas 75219",281-977-1503,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024401
Greystar,TABS2024024353,Granite Place II - Southlake,"601 State Street, Suite 550, Southlake, TX 76092",Tarrant,8/15/2024,3/1/2025,"$1,990,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"11,536 ft 2",Granite Prperties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731-2356,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024353
Parts Warehouse Addition - Phase 2,TABS2024024338,Premier Truck Group,"1804 NE Loop 820, Fort Worth, TX 76106",Tarrant,8/1/2024,8/1/2025,"$3,924,750",Additions to Existing Building,"This project is privately funded, on private land for private use.",Addition to existing parts warehouse with required racking,"26,165 ft 2",Premier Truck Group,"4200 Port Blvd., Dallas, Texas 75241",(817) 626-7090,,Fitzgerald Associates,"3900 N. Santa Fe Ave., Oklahoma City, Oklahoma 73118",(405) 521-8999,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024338
Parts Warehouse Addition - Phase 1,TABS2024024337,Premier Truck Group,"1804 NE Loop 820, Fort Worth, TX 76106",Tarrant,8/1/2024,5/1/2025,"$2,117,550",Additions to Existing Building,"This project is privately funded, on private land for private use.","parts warehouse addition for mechanic service, parts, and sales","14,117 ft 2",Premier Truck Group,"4200 Port Blvd., Dallas, Texas 75241",(817) 626-7090,,Fitzgerald Associates,"3900 N. Santa Fe Ave., Oklahoma City, Oklahoma 73118",(405) 521-8999,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024337
"Walmart #1455.1008 Fort Worth, TX",TABS2024024332,Walmart #1455,"8401 Anderson Blvd, Fort Worth, TX 76120",Tarrant,1/12/2025,2/7/2025,"$110,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",installing doors = 147sf,147 ft 2,Walmart Real Estate Business Trust,"2608 SE J Street, Bentonville, Arkansas 72716",(800) 876-5309,,Cyntergy,"810 S Cincinnati Ave., Ste. 200, Tulsa, Oklahoma 74119",(918) 877-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024332
USRC Eastchase,TABS2024024331,US Renal Care Eastchase,"1451 Eastchase Parkway, Fort Worth, TX 76120",Tarrant,11/4/2024,1/31/2025,"$490,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of 1,887 sf of an existing outpatient dialysis clinic. ","1,887 ft 2",FRC Genesis Fundsub IV LLC,"4514 Cole Ave, Suite 120, Dallas, Texas 75205",(479) 621-1387,Ed Stout - Director of Const. Project Management,Christopher Kidd and Associates LLC,"18650 W Corporate Dr., Suite 302, Brookfield, Wisconsin 53045",(262) 901-0505,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024331
24.717 RT#1670 Risinger,TABS2024024328,RaceTrac Risinger EDO,"NWC of Risinger Rd. & I35W NWC of Risinger Rd. & I-35W, Fort Worth, TX 76140",Tarrant,10/20/2024,10/31/2025,"$2,400,000",New Construction,"This project is privately funded, on private land for private use.",Convenience store & fuel canopy,"9,000 ft 2","RaceTrac Petroleum, Inc.","200 Galleria Parkway Southeast Suite 900, ATLANTA, Georgia 30339",(770) 596-0607,,Hill Foley Rossi & Associates,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024328
Brock Crossing,TABS2024024318,"Buildings A, B, and C","Quanah Hill Rd and Brock Spur, Brock, TX 76087",Tarrant,8/30/2024,1/6/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Three new retail buildings,"21,960 ft 2",Josh Harendt,"7500 Interstate 20W, Weatherford, Texas 76088",(817) 854-3080,,Clint Ashworth,"316 Carolyn Drive, Bedford, Texas 76021",(817) 751-8542,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024318
ALL SAINTS EPISCOPAL SCHOOL FIELD HOUSE,TABS2024024304,ALL SAINTS EPISCOPAL SCHOOL,"9601 N. NORMANDALE STREET, Fort Worth, TX 76116",Tarrant,12/1/2024,12/1/2025,"$10,950,000",New Construction,"This project is privately funded, on private land for private use.","SITE IMPROVEMENTS AND DEMOLITION OF EXISTING RESTROOM BUILDINGS FOR THE CONSTRUCTION OF A NEW NEW 20,406 ATHLETICS FIELD HOUSE AND LOCKER ROOMS FOR VARSITY AND JUNIOR VARSITY FIELD SPORTS. ","20,406 ft 2",ALL SAINTS EPISCOPAL SCHOOL,"9700 SAINTS CIRCLE, FORT WORTH, Texas 76116",(817) 935-2206,,BENNETT PARTNERS,"640 TAYLOR ST., STE. 2323, FORT WORTH, Texas 76102",(817) 335-4991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024304
Shotz Liquor,TABS2024024242,1751,"1751 N Hwy 377 Space 108, Roanoke, TX 76262",Tarrant,8/26/2024,12/16/2024,"$103,731",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish-out of existing retail space,"2,069 ft 2",Rivers Edge Neighborhood Shops Retail I LLC,"5729 Lebanon Rd, 144589, Frisco, Texas 75034",2-314-718-2626,,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024242
Dickey's BBQ - Bar T-D,TABS2024024238,DFW Airport Terminal - D,"Terminal D, DFW Airport, Dfw Airport, TX 75261",Tarrant,9/2/2024,12/31/2024,"$206,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Adding a bar to the existing Dickey's location,764 ft 2,DFW Airport,"2400 Aviation Dr, Dallas, Texas 75261",309793371,,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024238
