project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
MATHNASIUM OF NORTH ARLINGTON,TABS2026026159,MATHNASIUM OF NORTH ARLINGTON,"3980 N COLLINS ST. #STE. 142, Arlington, TX 76055",Tarrant,12/1/2026,12/31/2027,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,345 ft 2",B&M RADHE HOSPITALITY LLC,"3230 FOREST HILL CIRC, FOREST HILL, Texas 76140",(214) 289-3565,SHRISTI UPRETI SHARMA,BEAR DESIGN BUILD,"4100 SPRING VALLEY RD #STE. 430, DALLAS, Texas 75244",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026159
Confluent Solutions Plumbing Shop,TABS2026026151,Confluent Solutions Plumbing Shop,"3616 W. Vickery Blvd., Fort Worth, TX 76107",Tarrant,10/1/2026,10/1/2027,"$900,000",New Construction,"This project is privately funded, on private land for private use.",New Construction of 2 story Plumbing Shop with Security Apartment.,"4,036 ft 2","3616 W. Vickery Holding Co., LLC.","1319 Madeline Place, Fort Worth, Texas 76107",(817) 999-7363,,"David C. Fowler Architecture TX, LLC","4455 Camp Bowie Blvd. Suite 114 - 130, Fort Worth, Texas 76107",(404) 838-5599,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026151
Jefferson Dental,TABS2026026116,2603 8th Ave,"2603 8th Avenue Suite 125, Fort Worth, TX 76110",Tarrant,7/31/2026,11/30/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"3,395 ft 2","Eighth Avenue South 2016, LLC","5300 Camp Bowie Blvd, Fort Worth, Texas 76107",(817) 764-4350,,Schwabauer Design,"1600 North Collins Blvd Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026116
WALSH RANCH ADULT AMENITY CENTER,TABS2026026094,WALSH RANCH ADULT AMENITY CENTER,"CIDER CREEK BLVD, Fort Worth, TX 76008",Tarrant,9/1/2026,6/1/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.",GROUND UP NEW CONSTRUCTION,"5,973 ft 2",QUAIL VALLEY DEVCO IVA LLC,"400 S RECORD ST STE 1200, DALLAS, Texas 75202",(214) 292-3410,,THIEL & TEAM,"700 N Carroll Ave Ste 100, SOUTHLAKE, Texas 76092",405.537.3928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026094
CCMS Phase III,TABS2026026048,1120 S Henderson,"1120S Henderson St, Fort Worth, TX 76104",Tarrant,9/1/2026,3/5/2027,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovate existing office space ,"10,000 ft 2",Canex Holdings LLC,"3401 Acorn Run, Fort Worth, Texas 76109",(817) 432-8585,,Cornerstone Project Group LLC,"4770 Bryant Irvin Ct, Ste 400, Fort Worth, Texas 76107",817-887-9139,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026048
Safety Improvement Project (CSJ: 0902-90-355),TABS2026026044,CSJ: 0902-90-355,"Along Basswood Blvd, Saginaw, TX 76137",Tarrant,1/1/2028,5/1/2028,"$456,210",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Install sidewalks, curb ramps and crosswalks.","1,000 ft 2",City of Saginaw,"205 Brenda Ln, Saginaw, Texas 76179",(817) 230-0448,,"Kimley-Horn & Associates, Inc.","1301 Solana Blvd, Building 1, Suite 1200, Westlake, Texas 76262",(682) 348-5993,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026044
American Airlines Flagship Check-In  DFW D,TABS2026026025,Dallas-Fort Worth International Airport,"2400 Aviation Drive, Dfw Airport, TX 75261",Tarrant,8/3/2026,12/21/2026,"$2,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Upfit existing American Airlines leased space to accommodate a check-in lounge for their premium clients.  No food or beverage service.  approx 1800 sq feet ,"1,800 ft 2",American Airlines,"1 Skyview Drive, Fort Worth, Texas 76155",682-278-3657,,Corgan Associates,"401 N Houston St, Dallas, Texas 75202",(214) 757-1674,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026025
LAVITA NAIL SPA,TABS2026025986,CITY VIEW TOWNE CROSSING,"4855 & 4859 BRYANT IRVIN RD, Fort Worth, TX 76132",Tarrant,8/1/2026,12/1/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"2,830 ft 2",CITYVIEW TWN CROSSING SHOP CENTER,"270 COMMERCE DR, ROCHESTER, New York 14623",(585) 359-3000,PHAM KHANH,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025986
Thelin 117/119,TABS2026025982,Thelin 117/119,"5501 Thelin Street, Ste. 117/119, Fort Worth, TX 76115",Tarrant,8/1/2026,9/1/2026,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expand office space in warehouse - 4775 sf,"4,775 ft 2","Conti & Son, Ltd.","6913 Camp Bowie #149, Fort Worth, Texas 76116",(817) 851-2265,,Halbach Dietz Architects,"6913 Camp Bowie #149, Fort Worth, Texas 76116",(817) 737-0725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025982
Daniel's Health,TABS2026025968,Daniel's Healtgh,"3221 E Randol Mill Rd, Arlington, TX 76011",Tarrant,10/19/2026,1/18/2027,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior office remodel (7,599sf) in an existing building","7,599 ft 2",Daniels Arlington TX LLC,"111 W Jackson Blvd Suite 1900, Chicago, Illinois 76011",(516) 865-0033,,Method Architecture,"321 6th Street, San Antonio, Texas 78215",(210) 874-1569,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025968
