project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
LUXX NAIL SALON,TABS2025005724,LUXX NAIL SALON,"2700 N TARRANT PKWY #STE. 110, Fort Worth, TX 76177",Tarrant,11/15/2024,4/15/2025,"$90,000",New Construction,"This project is privately funded, on private land for private use.",NEW BUILD OUT ,"4,000 ft 2",MCKEEVER COMPANIES,"PO BOX 628, FORT WORTH, Texas 76101",(817) 236-6100,TU DUY TU,PYRAIXI LLC,"12001 CENTRAL DR, CYPRESS, Texas 77433",(713) 826-3979,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005724
Coco Shrimp,TABS2025005715,Shops on Broad Street - Bldg 200,"2301 E Broad Str, Mansfield, TX 76063",Tarrant,12/9/2024,2/9/2025,"$450,000",New Construction,"This project is privately funded, on private land for private use.",Tenant interior finish-out with some exterior modifications to existing building shell.,"2,300 ft 2",Coco Shrimp,"2401 Heritage Trace Pkwy Ste 101, Ft. Worth, Texas 76177",(682) 404-3577,,Ebarb + Guest Architecture,"3309 Elm St #102-241, Dallas, Texas 75226",(214) 301-3531,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005715
NTE Operations & Maintenance Facility,TABS2025005708,NTE Operations & Maintenance Facility,"7800 Hwy 287 SB SR, Fort Worth, TX 76177",Tarrant,1/15/2025,3/11/2026,"$11,000,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a 2-story mixed-use building consisting of office space, 6 vehicle maintenance bays and a covered delivery bay. Site amenities include employee and fleet parking, salt storage and lay-down yards. 23,788 sq ft","23,788 ft 2",NTE Mobility Partners Segments 3,"9001 Airport Fwy Ste 600, North Richland Hills, Texas 76180",(682) 444-5464,,"SSARCO of TX, PLLC","325 N. St. Paul Street Suite 2600, Dallas, Texas 75201",(214) 435-5131,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005708
Pecandale Townhomes,TABS2025005680,The Elysium,"2317 Pecandale, Arlington, TX 76013",Tarrant,11/30/2024,8/31/2025,"$600,000",New Construction,"This project is privately funded, on private land for private use.",new multifamily residential building ,"11,160 ft 2",Ishau Oyeti,"3731 McBroom st., dallas, Texas 75212",(469) 996-1545,,Rcplans,"1801 N Hampton, Desoto, Texas 75115",(214) 859-4267,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005680
Asia City Centre,TABS2025005674,Building 03,"2203 Sherry Street, Arlington, TX 76010",Tarrant,12/1/2024,8/1/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New core-and-shell of 1-story Retail Building with site improvements,"10,800 ft 2",Asia City Centre Development Company,"2205 Sherry Street, Arlington, Texas 76010",(682) 552-1537,,STARC Studio LLC,"933 N 150th Street, Omaha, Nebraska 68154",(469) 230-3775,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005674
Asia City Centre,TABS2025005665,Building 02,"2215 Sherry Street, Arlington, TX 76010",Tarrant,12/1/2024,8/1/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New core and shell of 1-story Retail Building with site improvements,"10,973 ft 2",Asia City Centre Development Company,"2205 Sherry Steet, Arlington, Texas 76010",(682) 552-1537,,STARC Studio LLC,"933 N 150th Street, Omaha, Nebraska 68154",(469) 230-3775,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005665
The Parks AMC IMAX Auditorium #1 Remodel,TABS2025005630,The Parks Mall at Arlington,"3861 S. Cooper Street, Arlington, TX 76015",Tarrant,1/20/2025,4/14/2025,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Commercial tenant interior remodel of Auditorium #1.,"75,700 ft 2",Brookfield Properties,"3811 S. Cooper Street, Arlington, Texas 76015",(972) 850-5091,Jennifer Meyer,GastingerWalker&,"817 Wyandotte Street, Kansas City, Missouri 64105",(816) 569-0832,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005630
Cici's Pizza,TABS2025005618,Grapevine Towne Center,"1319 SH-114 West 300, Grapevine, TX 76051",Tarrant,12/9/2024,3/20/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out for new restaurant occupancy,"4,200 ft 2","Tate/114 Shopping Center, Ltd","3102 Maple Avenue Ste. 500, Dallas, Texas 75201",(214) 720-3613,Tony Bowen,Greg Landry - Architect,"1202 Richardson Dr ste. 106, RICHARDSON, Texas 75080",(214) 631-6941,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005618
HOLIDAY INN EXPRESS - BEDFORD TX,TABS2025005599,HOLIDAY INN EXPRESS - BEDFORD TX,"2609 AIRPORT FREEWAY, Bedford, TX 76021",Tarrant,12/2/2024,1/30/2026,"$6,500,000",New Construction,"This project is privately funded, on private land for private use.",NEW HOTEL PROJECT,"50,524 ft 2",CIMARRON HOSPITALITY,"2451 EAST RANDOL MILL ROAD, ARLINGTON, Texas 76011",(214) 966-9994,,RSS ARCHITECTS LLC,"PO BOX 67, FLINT, Texas 75762",(817) 538-9258,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005599
North Las Vegas Trail Improvement Project (CSJ: 0902-90-176),TABS2025005597,CSJ: 0902-90-176,"From: Quebec Dr TO: IH 820, White Settlement, TX 76108",Tarrant,11/4/2026,8/23/2027,"$8,025,842",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Reconstruct and widen from 2 lanes to 4 lanes with center turn lane, sidewalks, storm water and intersection improvements.","1,000 ft 2",TxDOT District: Fort Worth,"2501 S W Loop 820, Fort Worth, Texas 76133",(817) 370-6500,,Kimley-Horn,"2600 N Central Expressway, Suite 400, Richardson, Texas 75080",(214) 617-0535,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005597
