project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Stockyards Market Place,TABS2026022736,"DFW Airport, Concourse A","2040 North International Pkwy, Suite A-2-038C-A01, Dallas, TX 75261",Tarrant,9/1/2026,12/1/2026,"$425,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Total interior FFE demolition of 1041 sq.ft. tenant mercantile space and build new tenant space. All new FFE installed. Reuse of exsiting HVAC, fire protection, alarm systems and electrical transformer and panels","1,041 ft 2",Cities of Dallas and Fort Worth Texas,"3200 E Airfield Drive DFW Airport, DFW Airport, Texas 77807",(972) 973-5696,Matthew Norris,Civitarese Morgan,"3341 Regent Blvd. Suite 130-321, Irving, Texas 75063",214-613-0680,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022736
Cooks Lane Storage,TABS2026022730,Storage 365,"7700 Ederville Rd, Fort Worth, TX 76112",Tarrant,9/1/2026,9/1/2027,"$7,475,000",New Construction,"This project is privately funded, on private land for private use.","Self storage project with (7) single story non-climate controlled buildings and (2) two story climate controlled buildings with associated site, mechanical, electrical, and plumbing work","95,902 ft 2",Valk Property VI LLC,"1450 TL Townsend Dr Suite 100, Rockwall, Texas 75032",(972) 722-2590,,RKAA,"2233 E Thomas St, Phoenix, Arizona 85016",(602) 955-3900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022730
Building Addition,TABS2026022663,Tate Springs Baptist Church,"4001 Little Rd, Arlington, TX 76106",Tarrant,7/27/2026,7/30/2027,"$800,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Construct connection between two existing buildings.,"2,976 ft 2",Tate Springs Baptist Church,"4001 Little Rd, Arlington, Texas 76106",(817) 478-4102,,Martsolf Architecture,"815 W. Daggett Ave., Fort Worth, Texas 76104",817-820-0005,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022663
QuikTrip #1930,TABS2026022660,QuikTrip #1930,"14100 Trinity Blvd., Fort Worth, TX 76155",Tarrant,1/8/2027,9/30/2027,"$750,000",New Construction,"This project is privately funded, on private land for private use.","Construction a a retail convenience store with retail fuel sales.  6,445 sf.","6,445 ft 2","QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022660
Classic Collision Fort Worth,TABS2026022628,Classic Collision,"Golden Triangle Blvd, Fort Worth, TX 76244",Tarrant,10/5/2026,3/22/2027,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.",Construction of new 13070 SF Collision Center.,"13,070 ft 2",6S Development LLC,"18333 Preston Rd Suite 350, Dallas, Texas 75252",(775) 219-4927,,Tectonics Design Group,"730 Sandhill Rd #250, Reno, Nevada 89521",(775) 824-9988,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022628
Washington Ave Multi-Plex,TABS2026022554,Washington Ave Multi-Plex,"1201 Washington Ave., Fort Worth, TX 76104",Tarrant,7/1/2026,12/1/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",6 New rentable Units,"7,081 ft 2",54 Milestone Properties,"163 Jellico Circle, Southlake, Texas 76092",(817) 915-6389,,Texture Design Studio,"8111 Lyndon B. Johnson frwy, dallas, Texas 75251",(469) 666-3545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022554
Select Medical Renovation,TABS2026022511,Select Specialty Hospital - Dallas Inc.,"4201 William D Tate Ave, Grapevine, TX 76051",Tarrant,7/1/2026,7/1/2027,"$6,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Existing 60,000 sf Hospital Facility being renovated including ADA required renovations, Kitchen renovations, Imaging renovations and Physical Therapy renovations.  Required MEP upgrades.","60,000 ft 2","Grapevine Heathcare Realty, LLC","5305 Village Creek Dr, Plano, Texas 75093",817-798-6812,,SBL Architecture Inc.,"1000 Ballpark Way, Suite 200, Arlington, Texas 76011",817-792-2100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022511
AWA R3 Renovations,TABS2026022509,AWA R3,"2944 S Grove Street, Fort Worth, TX 76107",Tarrant,8/1/2026,2/1/2027,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconfiguration of interior spaces/framing to accommodate additional offices, a new multipurpose room, new conference and Reception area.","4,350 ft 2",City of Fort Worth,"301 Henderson Street, Fort Worth, Texas 76104",(817) 725-7700,American Warrior Association I R3 - Baylee Conerly,"Grace Design Studios, LLC","200 Bailey Avenue Suite 200, FORT WORTH, Texas 76107",(817) 921-5928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022509
"34095 Fort Worth, TX (Meacham Blvd)",TABS2026022503,"34095 Fort Worth, TX (Meacham Blvd)","2551 Meacham Blvd, Fort Worth, TX 76137",Tarrant,8/31/2026,7/8/2027,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a ground-up one story convenient store with fueling services,"4,816 ft 2","Mercantile Partners, LP","2650 Meacham Blvd, Fort Worth, Texas 76137",(817) 831-4106,Clint Ellis,The Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022503
Fidelity WLK ODW - Servery and Pop Up,TABS2026022484,Phase I: 1 Destiny Way,"1 Destiny Way, Westlake, TX 76262",Tarrant,7/6/2026,12/4/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Addition of a Servery station to the existing cafeteria and modifications to an existing game area to be usable for a temporary pop up vendor set up. ,"3,295 ft 2","FMR Texas I, LLC","200 Seaport Blvd., Boston, Massachusetts 02210",(214) 533-4510,,Interior Architects,"728, Northwestern Avenue, Blackshear-Prospect Hill Building A, Austin, Texas 78702",(737) 218-5246,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022484
Rendon Fire Station,TABS2026022481,Rendon Fire Station,"4300 Burleson Retta Rd, Burleson, TX 76028",Tarrant,5/4/2026,12/7/2026,"$1,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of two existing buildings to function as ,and accommodate the needs of, a county fire station.  One building will function as the living quarters, and the other will function as the apparatus bay.","18,738 ft 2",Tarrant County ESD 1,"4900 River Oaks Blvd, River Oaks, Texas 76114",(682) 463-7378,,"RPGA Design Group, Inc","1530 Rio Grande Ave, Fort Worth, Texas 76102",(817) 332-9477,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022481
Wells Fargo - Western Hills - Refurb 2026,TABS2026022460,Wells Fargo,"8800 Camp Bowie West Blvd, Fort Worth, TX 76116",Tarrant,8/1/2026,8/18/2026,"$194,500",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation to include non-structural partitions, doors, furniture, finishes, millwork, and equipment. Exterior improvements to path of travel to main accessible entrance. ","2,333 ft 2",Wells Fargo Bank NA,"333 Market Street, San Francisco, California 94105",(210) 426-0544,,"Interior Architects, Inc.","711 Louisiana St, Suite 1950, Houston, Texas 77002",214-935-6925,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022460
"Kirkwood East Properties, LLC",TABS2026022442,Pro. Office/ Warehouse,"1500 W. Kirkwood Blvd, Southlake, TX 76092",Tarrant,8/3/2026,4/30/2027,"$750,000",New Construction,"This project is privately funded, on private land for private use.",5817 SF Pro Office / Warehouse and site development ,"5,817 ft 2","Kirkwood East Properties, LLC","1540 W Kirkwood Blvd, Southlake, Texas 76092",(817) 307-3600,,Legacy ADPR,"1245 Southridge Ct. Suite 102, Hurst, Texas 76053",(817) 914-2409,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022442
Fort Worth Museum of Science and History School,TABS2026022439,Fort Worth Museum of Science and History,"1600 Gendy St., Fort Worth, TX 76107",Tarrant,6/27/2026,9/1/2026,"$438,000",New Construction,"This project is privately funded, on private land for private use.",Courtyard Renovation,"5,000 ft 2",City of Fort Worth,"200 Texas St, Fort Worth, Texas 76102",(817) 255-9319,,MBL Inc,"9623 Chapin Rd, Fort Worth, Texas 76126",(817) 229-0061,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022439
UNT Health RES Restroom Renovation,TABS2026022433,UNT Health Research and Education building,"3430 Camp Bowie Blvd, Fort Worth, TX 76107",Tarrant,7/15/2026,1/1/2027,"$675,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of existing corridor and locker rooms/restrooms within the UNT Health Research and Education building. Renovation includes new walls , ceilings, lighting, and finishes.","1,839 ft 2",UNT Health,"901 Clifton, Fort Worth, Texas 76107",(817) 705-9328,,"Grace Design Studios, LLC","200 Bailey Avenue Suite 200, FORT WORTH, Texas 76107",(817) 921-5928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022433
The Gaucho,TABS2026022416,The Gaucho,"6536 NW Loop 820, Fort Worth, TX 76135",Tarrant,7/1/2026,12/1/2026,"$165,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remove and relocate bar. Cover existing patio. Build a couple walls and divide the room ,"7,130 ft 2","Prime Win Realty, LLC","3700 Lake Powell Dr, Arlington, Texas 76016",(917) 306-6609,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022416
