project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
ROYAL HEAD SPA,TABS2025014862,SHOPS AT DEBBIE,"1305 DEBBIE LN #STE. 200, Arlington, TX 76002",Tarrant,4/4/2025,8/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",REMODEL ,"2,400 ft 2",SHOPS AT DEBBIE,"3773 RICHMOND AVE #STE. 800, HOUSTON, Texas 77045",(713) 963-9329,V&C CONSTRUCTION LLC,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014862
Scenthound Grooming,TABS2025014858,The Grove at Frontera,"8100 S Collins Street Suite 2, Arlington, TX 76002",Tarrant,5/12/2025,7/25/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant fit out for use as dog groomers,"1,211 ft 2","Zale Properties, Inc.","8333 Douglas Avenue, Dallas, Texas 75225",(214) 789-7075,,LH2 Architecture LLC,"5909 W Loop S Suite 230, Bellaire, Texas 77401",(713) 201-2938,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014858
HUONG DAO VIPASSANA ACCESSORY BUILDING,TABS2025014852,HUONG DAO VIPASSANA BHAVANA CENTER,"4717 E ROSEDALE ST, Fort Worth, TX 76105",Tarrant,4/15/2025,8/31/2025,"$155,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,364 ft 2",HUONG DAO VIPASSANA BHAVANA CENTER,"4717 E ROSEDALE ST, FORT WORTH, Texas 76105",(972) 859-0086,,SDG ARCHITECTS,"100 CRESCENT CT #STE. 700, DALLAS, Texas 75201",(469) 249-8655,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014852
MB Fort Worth Evolution Upgrade,TABS2025014823,Park Place Motorcars Fort Worth,"5601 Bryant Irvin Road, Fort Worth, TX 76132",Tarrant,6/1/2025,3/31/2026,"$9,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Showroom interior and exterior renovation to conform to new brand program requirements. The completed area of scope is ~18,800sf.","18,800 ft 2","Asbury Fort Worth MB, LLC","2905 Premiere Pkwy, Suite 300,, Duluth, Georgia 30097",(972) 877-9750,,"Praxis3, LLC","100 Peachtree Street NW, Suite 1450,, Atlanta, Georgia 30303",(678) 904-7420,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014823
Sam's Club #3781,TABS2025014821,Sam's Club,"201 Golden Triangle Blvd, Keller, TX 76248",Tarrant,5/26/2025,8/29/2025,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing Sam's Club facility to include parking re-striping.  Approx 16,522sf remodel area","16,522 ft 2",Sam's Real Estate Business Trust,"702 SW 8th St, Bentonville, Arkansas 72716",(479) 715-5585,,WD Partners,"7007 Discovery Blvd, Dublin, Ohio 43017",(380) 240-4157,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014821
Extra Space Storage #8551 Addition,TABS2025014795,Extra Space Storage #8551 Addition,"5105 Mansfield, Fort Worth, TX 76119",Tarrant,8/1/2025,5/1/2026,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.","(3) 1-story buildings with slab on grade foundation and metal stud construction with metal wall panel. Work will include mechanical, electrical, and plumbing.","18,701 ft 2",Stewart Handley,"2795 E Cottonwood Pkwy #400, Cottonwood, Utah 84121",(801) 228-8579,,Dallenbach-Cole Architecture,"315 Ninth Street, Suite 1, San Antonio, Texas 78215",(210) 493-2234,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014795
St. Martin in the Fields Parish Hall Renovations,TABS2025014786,St. Martin in the Fields Episcopal Church,"223 Pearson Lane, Keller, TX 76248",Tarrant,5/1/2025,7/31/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Demolition and construction / renovation of offices and children's rooms,"4,500 ft 2",St. Martin in the Fields Episcopal Church,"223 Pearson Lane, Keller, Texas 76248",(817) 581-4916,,VLK Architects,"1320 Hemphill St Suite 400, Fort Worth, Texas 76104",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014786
SOUTHLAKE - A2,TABS2025014768,VARISPACE - SOUTHLAKE,"1900 W KIRKWOOD, Southlake, TX 76092",Tarrant,4/1/2025,4/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",ADD SOME OFFICES TO AN EXISTING TENANT SPACE,"2,500 ft 2",VARISPACE,"450 N FREEPORT PKWY, COPPELL, Texas 75019",(469) 391-0976,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014768
Spec Suite 630,TABS2025014763,Baylor All Saints,"1250 8th Ave. Suite 630, Fort Worth, TX 76104",Tarrant,4/14/2025,6/23/2025,"$146,205",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 1,539 useable sq. ft. tenant finish out in Baylor All Saints within Fort Worth, Texas. ","1,539 ft 2",Healthcare Realty Services LLC,"3900 Junius Street Suite 640, Dallas, Texas 75246",(469) 617-0657,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014763
Spec Suite 350,TABS2025014759,Kirkwood Oaks,"3120 Sabre Drive Suite 350, Southlake, TX 76092",Tarrant,3/25/2025,7/7/2025,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation,"4,380 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014759
B23-0243 - SW-EAT 1B - SNOW & ICE,TABS2025014758,DFW SNOW & ICE FACILITY,"2020 SW Emergency Loop, Dfw Airport, TX 75206",Tarrant,3/1/2025,8/20/2026,"$39,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project."," SITE IMPROVEMENTS TO THE SOUTHWEST END AROUND TAXIWAY AND CONSTRUCTION OF A NE W80,000 SF. SNOW & ICE FABRIC STRUCTURE","80,000 ft 2",DFW Airport DCC,"3003 South Service Road, DFW Airport,, Texas 75261",862-347-6309,,RS&H Inc.,"4835 Lyndon B Johnson Freeway #700, Dallas, Texas 75244",469 314 3410,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014758
The Maples of North Texas,TABS2025014757,The Maples of North Texas,"10805 West Cleburne Road, Crowley, TX 76036",Tarrant,3/21/2025,3/31/2030,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing building(s),"8,676 ft 2",The Maples of North Texas,"14707 Perkins Road, Baton Rouge, Louisiana 70810",(225) 810-4040,,Bates Martin Architects,"2220 San Jacinto Blvd.  #330, Denton, Texas 76205",(940) 387-4881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014757
Carroll Avenue Mobility Improvements,TABS2025014744,N/A,"240 - 985 N Carroll Avenue, Southlake, TX 76909",Tarrant,6/1/2025,6/15/2026,"$1,200,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","This project includes 1,200 linear ft. of paving, drainage, signal, and signing and marking work for two intersections in TxDOT and City ROW.","1,200 ft 2",City of Southlake,"1400 Main Street, Ste. 320, Southlake, Texas 76092",(817) 748-8089,,"Kimley-Horn and Associates, Inc","225 E. John W. Carpenter Frwy., Ste 1100, Irving, Texas 7506",214-420-5603,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014744
