project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
CRASH CHAMPIONS - GRAPEVINE,TABS2026023968,CRASH CHAMPIONS,"900 PORT AMERICA PLACE, Grapevine, TX 76051",Tarrant,8/1/2026,2/1/2027,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR RENOVATION OF AN EXISTING BUILDING. NEW FACADE MATERIAL AT ENTRANCE. NO REMOVAL OR ADDITION OF NEW EXTERIOR OPENINGS PROVIDED (16,532 sft)","16,532 ft 2",BARR & HOFFMAN PROPERTIES LLC,"1005 TINKER ROAD, COLLEYVILLE, Texas 76034",(817) 229-6316,TRAVIS WHITE,NORR,"150 W JEFFERSON AVE. Ste 1300, Detroit, Michigan 48226",313-324-3105,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023968
W J Boaz Road Widening,TABS2026023964,W J Boaz Road,"W J Boaz Road, Fort Worth, TX 76179",Tarrant,1/1/2027,12/31/2028,"$3,645,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","(10,200 S.F.) Paving, Drainage, Traffic Signals, Street Lights, Water, Sewer, Street Lighting, and Traffic Signals Improvements","10,200 ft 2",City of Fort Worth,"200 Texas St, Fort Worth, Texas 76102",(817) 392-8883,,Graham Associates Inc./ Parkhill,"600 Six Flags Dr Suite 500, Arlington, Texas 76011",817-640-8535,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023964
"Haltom City, TX Planet Fitness",TABS2026023938,Planet Fitness,"3316 Denton Highway, Haltom City, TX 76117",Tarrant,7/31/2026,10/14/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A Fitness Facility – Tenant Improvement / Remodel with majority cosmetic changes across the entire space with minor equipment changes and a Black Card Spa layout modification.  Selective interior demo.  Affected sf is 21,694","21,694 ft 2",Haltom Commons LLC,"2361 Nostrand Avenue Suite 602, Brooklyn, New York 11210",(212) 889-4417,Desh Singh,pb2 architecture + engineering,"4886 West Pauline Whitaker Parkway Suite 200, Rogers, Arkansas 72758",(479) 636-3545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023938
Erin Kelly Salon,TABS2026023921,216 E Northwest Hwy,"216 E Northwest Hwy Suite 100, Grapevine, TX 76051",Tarrant,7/20/2026,12/1/2026,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR TENANT RENOVATION,"1,692 ft 2",WRIGHT 430 MAIN LLC,"600 W. WALL ST, GRAPEVINE, Texas 76051",(940) 390-9563,Chelsea Seaton,CREATIVE ACCESSIBLE DESIGN,"BOX 491, MAYPEARL, Texas 76064",(254) 659-7288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023921
THSW CUP and Site Utilities,TABS2026023889,Texas Health Harris Methodist Southwest Fort Worth Hospital,"6100 Harris Parkway, Fort Worth, TX 76132",Tarrant,10/1/2026,2/1/2029,"$38,540,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New central utility plant expansion consisting of new generator and chiller room. Approx 9570SF.,"9,570 ft 2",Harris Methodist Southwest,"612 E Lamar Blvd., Arlington, Texas 76011",817-250-7999,,HKS Inc.,"1227 W Magnolia Ave, #200, Fort Worth, Texas 76104",817-348-0330,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023889
WR Meadows Building #2 Rebuild,TABS2026023887,WR Meadows Building #2,"1290 Cantrell Sansom Road 2555 Northeast 33rd St, Fort Worth, TX 76111",Tarrant,8/15/2026,9/15/2027,"$6,500,000",New Construction,"This project is privately funded, on private land for private use.","Rebuild of 45,387 sf pre-engineered metal building warehouse to service existing manufacturing plant on-site.","45,387 ft 2",W R MEADOWS INC,"2555 N.E. 33rd Street, Fort Worth, Texas 76111",(817) 834-1969,,GSBS Architects,"901 W Vickery Blvd. Suite 100 901 W Vickery Blvd. Suite 100, Fort Worth, Texas 76104",(817) 589-1722,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023887
Texas Health Huguley Surgery Expansion,TABS2026023835,Texas Health Huguley Hospital,"11801 South Fwy, Burleson, TX 76028",Tarrant,9/15/2026,3/31/2029,"$75,000,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Surgery Expansion, PACU, Prep Recover, MRI, SPD, Pharmacy Breakdown, Support and Storage Spaces. Total Sf = 66,250 SF","66,250 ft 2",Texas Health Huguley,"4500 Dorr St, Fort Worth, Texas 76028",817-568-5551,,HKS Inc.,"1227 W Magnolia Ave #200, Fort Worth, Texas 76104",817-231-7169,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023835
104 Northwest Parkway,TABS2026023782,104 Northwest Parkway,"104 Northwest Parkway, Azle, TX 76020",Tarrant,7/22/2026,12/12/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation ,"60,000 ft 2","U.S.A. Realty 87 Azle Associates, LP","820 Morris Turnpike Suite 301, Short Hills, New Jersey 07078",(973) 467-5000,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023782
Evans and Rosedale,TABS2026023770,Retail 03,"916 Evans Avenue Suite 500, Fort Worth, TX 76104",Tarrant,11/1/2026,11/1/2027,"$1,831,164",New Construction,"This project is privately funded, on private land for private use.",Mixed use retail,"11,029 ft 2","Evans and Rosedale Texas, LLC","111 East Kilbourn Ave STE 2100, Milwaukee, Wisconsin 53202",773,,Engberg Anderson Architects,"320 E Buffalo St Suite 500, Milwaukee, Wisconsin 53202",(414) 944-9000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023770
Evans and Rosedale,TABS2026023769,Retail 02,"928 Evans Avenue, Fort Worth, TX 76104",Tarrant,11/1/2026,11/1/2027,"$716,200",New Construction,"This project is privately funded, on private land for private use.",Restaurant,"2,659 ft 2","Evans and Rosedale Texas, LLC","111 East Kilbourn Ave STE 2100, Milwaukee, Wisconsin 53202",(773) 619-0416,,Engberg Anderson Architects,"320 E Buffalo St Suite 500, Milwaukee, Wisconsin 53202",(414) 944-9000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023769
Evans and Rosedale,TABS2026023765,Retail 01,"Missouri Ave, Fort Worth, TX 76104",Tarrant,11/2/2026,11/1/2027,"$941,031",New Construction,"This project is privately funded, on private land for private use.",Leasing office and fitness center for apartment development,"3,680 ft 2","Evans and Rosedale Texas, LLC","111 East Kilbourn Ave STE 2100, Milwaukee, Wisconsin 53202",(773) 619-0416,,Engberg Anderson Architects,"320 E Buffalo St Suite 500, Milwaukee, Wisconsin 53202",(414) 944-9000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023765
Freedom Church Renovations,TABS2026023736,Freedom Church,"824 W. Pipeline Rd., Hurst, TX 76053",Tarrant,6/15/2026,10/1/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of existing rooms to update paint, floors, walls, ceilings, lighting, restroom fixtures and doors.","37,000 ft 2",Freedom Church DFW Inc,"PO Box 212006, Bedford, Texas 76095",(817) 681-4093,,"VCS Architects, LLC","19251 Purus, Porter, Texas 77365",832-527-1634,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023736
26045 - Vertical TI,TABS2026023731,26045 - Vertical TI,"1104 Tradewind Drive, Haslet, TX 76052",Tarrant,7/1/2026,10/20/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of an existing building ,"45,000 ft 2",AATC NO 2 LLC,"9800 Hillwood Parkway Suite 300, Fort Worth, Texas 76177",(817) 224-6000,,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023731
"SHOPS AT HARMON 2 - FTW, TX",TABS2026023673,"SHOPS AT HARMON 2 - FTW, TX","1231 E HARMON RD, Fort Worth, TX 76131",Tarrant,10/1/2026,7/31/2027,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",New Construction Shell,"10,425 ft 2",PLAZA AT PRINCETON CROSSROADS LLC,"10101 WESTRIDGE BLVD STE 101, MCKINNEY, Texas 75072",(847) 644-1399,,"JAW ARCHITECTS, INC","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023673
